voronoi_numTerminalPoints,rotError.numSamples.mean
117,4854.31818182
82,2208.2
82,533.736842105
31,281.035714286
48,375.75
92,2982.96296296
189,4729.04166667
136,2494.54545455
76,1109.95652174
59,244.540540541
57,830.8
39,180.0
42,450.733333333
60,456.135135135
41,628.1
36,954.971428571
108,914.034482759
135,2059.76470588
107,8438.2173913
63,1611.28571429
168,6025.96969697
85,4245.57692308
95,2369.74358974
154,11003.8461538
70,2018.0
65,8121.34782609
43,2459.1
119,2825.15384615
110,898.038461538
137,845.545454545
138,908.161290323
97,6648.12
224,2004.73076923
204,1650.23076923
145,1444.0
171,4167.25714286
40,160.676470588
108,1054.375
112,1731.48
54,1206.76923077
153,6763.84615385
117,4317.96153846
66,1501.82608696
105,1183.46153846
137,4219.69230769
131,3851.77777778
93,2071.29032258
85,3696.67567568
87,1492.89285714
125,3379.41666667
72,655.766666667
88,619.76
74,1611.27777778
125,3842.36
87,1278.8
112,2906.77777778
68,1697.56410256
95,1119.77419355
87,581.0
85,510.341463415
9,1266.60714286
62,1420.46666667
125,3455.96666667
72,754.666666667
118,2924.18181818
64,407.793103448
108,2267.29166667
126,1168.5
111,609.074074074
220,4291.20833333
94,1209.07692308
118,461.08
106,1971.81578947
309,8361.53846154

5-Fold RMSE:,2438.31106665,1594.26514966,1602.85995795,1731.51182346,1731.51182346
Average 5-Fold RMSE:,1943.31670034

5-Fold rsquared:,0.516767766468,-0.593331524297,-0.0591780391666,0.071717086325,0.071717086325
Average 5-Fold rsquared:,0.034649887172
