roomPerimeter,rotError.std.mean
837.315270419,0.0196438888889
747.238694267,0.0581752916667
1588.62791478,0.0138309130435
1351.09384402,0.00848306666667
458.622966465,0.00990715789474
125.926169628,0.00666489285714
302.601396954,0.00854714285714
501.062394277,0.0155064516129
1837.42341771,0.0139629166667
688.861804167,0.0146126956522
662.793955846,0.00927660869565
345.129490021,0.00886394594595
456.293929549,0.0103236571429
315.925559425,0.00831244
243.357074819,0.0120980666667
409.663330218,0.00897186111111
203.831915727,0.0070672
608.510749633,0.00862697142857
811.724322072,0.0107663448276
789.405453777,0.0146358235294
498.214112703,0.0165645
349.485622363,0.00871552173913
623.087494685,0.0233207058824
506.227250231,0.0177865357143
469.640967896,0.0435829285714
470.629120514,0.0173028571429
343.406315926,0.0134678235294
349.626511091,0.0117434782609
503.178792264,0.0171069
824.277775057,0.0210941176471
481.48305766,0.00869485714286
859.077312371,0.00991634782609
1023.76949412,0.0162976363636
1483.77049838,0.01273672
1208.95867135,0.0216128148148
1173.67459887,0.0267318666667
537.162909983,0.014787
845.005713505,0.01558596875
279.62861162,0.00887017391304
780.915742482,0.0136369583333
909.128599512,0.0158112592593
623.395444333,0.0110901538462
787.160481335,0.016004875
551.960813093,0.0116140454545
655.096395443,0.0131456666667
1086.4876646,0.012016
1357.05101607,0.0138605172414
1113.23214774,0.0208444333333
636.640571297,0.0209096857143
883.283838598,0.0136826097561
638.505269241,0.0140931785714
1290.51989442,0.013008
474.810346145,0.0124418666667
502.295701425,0.0115595416667
687.882051882,0.0113095
1293.11063322,0.01085984
602.61103687,0.0133554761905
864.15979835,0.0143581333333
846.661098224,0.00947095238095
687.49670878,0.0113865483871
454.8062828,0.01360234375
406.40042891,0.0114615121951
865.683726415,0.00808462962963
580.17017166,0.0116139666667
551.429068269,0.01513984375
620.854347876,0.0103575555556
651.012500721,0.0177405833333
367.406975129,0.0105403103448
1075.51367261,0.0159079615385
533.159488544,0.0109016571429
377.956377889,0.00975977777778
900.193877884,0.0112861428571
496.333168951,0.00749868
1394.54206022,0.00801097368421

5-Fold RMSE:,0.00346161131878,0.00558727661879,0.00863742720637,0.0119851038593,0.0119851038593
Average 5-Fold RMSE:,0.00667441414867

5-Fold rsquared:,0.0349576267975,-0.00942606925272,-0.0858410296846,-1.35094257725,-1.35094257725
Average 5-Fold rsquared:,-0.260808990005
