roomPerimeter,rotError.numSamples.std
1588.62791478,4496.65449768
1351.09384402,1068.57195671
458.622966465,257.853455343
125.926169628,141.850142792
302.601396954,182.929460449
501.062394277,2244.05747734
1837.42341771,3935.77212331
688.861804167,2874.5710625
662.793955846,363.803157271
345.129490021,147.306005198
456.293929549,2626.374729
315.925559425,108.084781537
243.357074819,1084.0791156
409.663330218,180.818284498
203.831915727,273.731419461
608.510749633,642.991734482
811.724322072,702.453163625
789.405453777,1510.28589149
498.214112703,14872.7918784
349.485622363,720.79837633
623.087494685,9225.92445392
506.227250231,3023.39259484
469.640967896,2651.41884337
470.629120514,24043.8800652
343.406315926,1616.41335473
349.626511091,8919.29941979
503.178792264,1725.55951023
824.277775057,1863.36560045
481.48305766,624.17813537
859.077312371,620.469279434
1023.76949412,857.003410118
1483.77049838,5103.87888822
1208.95867135,1966.19530209
1173.67459887,1057.23261059
537.162909983,1483.83345876
845.005713505,3961.17166175
279.62861162,165.786311893
780.915742482,2139.14201672
909.128599512,1428.99660238
623.395444333,968.189122803
787.160481335,5433.37490878
551.960813093,3842.62601996
655.096395443,1817.05743137
1086.4876646,691.528513091
1357.05101607,8506.08116752
1113.23214774,3722.68290681
636.640571297,1936.04140841
883.283838598,4393.41939757
638.505269241,1687.4634671
1290.51989442,2072.14962693
474.810346145,383.599850828
502.295701425,786.667567909
687.882051882,1917.94562562
1293.11063322,2174.75877982
602.61103687,748.389444073
864.15979835,2608.69783514
846.661098224,1354.24201138
687.49670878,490.102011085
454.8062828,432.474999277
406.40042891,473.088895362
865.683726415,597.094712473
580.17017166,1136.24840985
551.429068269,3100.93252085
620.854347876,803.781894131
651.012500721,1700.53022844
367.406975129,316.936671506
1075.51367261,2065.32399555
533.159488544,1024.40711512
377.956377889,350.849437575
747.238694267,3504.51641908
900.193877884,2631.23148885
496.333168951,257.78020405
1394.54206022,1433.91482635
837.315270419,4268.01882728

5-Fold RMSE:,1949.19530538,6718.77315164,1499.05394661,3555.64282633,3555.64282633
Average 5-Fold RMSE:,3043.32913793

5-Fold rsquared:,-0.318264973017,-1.02191234212,-0.73253363702,0.0419822798607,0.0419822798607
Average 5-Fold rsquared:,-0.668146371378
