voronoi_avg_eigenvector_centrality,transError.numSamples.std
0.00348930382443,4574.73377354
0.00351487462818,3504.51641908
0.0100393514149,4516.12281977
0.0105135767838,1068.57195671
0.0172969873425,257.853455343
0.0409830675628,141.850142792
0.0273961100812,182.929460449
0.00775762679381,3510.04999446
0.00574053025445,3935.77212331
0.00607997285304,4927.43898941
0.0128790084879,363.803157271
0.017891627974,147.306005198
0.0253591873935,2626.374729
0.0288269155167,108.084781537
0.0272922929883,1084.0791156
0.0219058444332,183.153742003
0.0297781088292,273.731419461
0.0309749814202,642.991734482
0.0124757824752,702.453163625
0.00765770647817,1510.28589149
0.00766469551654,14727.7449601
0.0140504632514,2308.33572565
0.00385958981256,15286.2712796
0.00941447966977,8108.00744572
0.0120101922236,2866.01159506
0.00768026339488,24073.9681947
0.0286332432184,2219.38941949
0.0137519009375,8919.29941979
0.0321153716336,1725.55951023
0.0117639351235,3228.66340734
0.0102993499896,308.046732032
0.00831972874981,701.623265043
0.00813539809992,12253.024445
0.0103366706799,5103.87888822
0.00323439217057,12190.977691
0.00533722428878,10206.0904135
0.00771167569822,1947.88730019
0.00884825240827,4006.02426321
0.0385411562993,189.939449112
0.0125414231222,2139.14201672
0.013397586622,4015.83521781
0.0195939573205,968.189122803
0.00617839133906,5532.41528027
0.00780794728565,1328.17120275
0.0172809652214,4913.35122961
0.00757861267376,897.213776087
0.00720516326982,12782.2996962
0.00830849954476,15884.6134701
0.0193714444817,3217.32940007
0.00863855085793,4350.15152402
0.0157857386681,1687.4634671
0.00954335364902,2072.14962693
0.0189069640465,383.599850828
0.0181565375695,2014.30380687
0.0127487196601,1917.94562562
0.00943801405487,2174.75877982
0.0123575452517,1102.42140417
0.0092119796945,2925.49410622
0.0152906308222,3355.85891523
0.0110621006247,490.102011085
0.0107519721017,432.474999277
0.0109688701912,473.088895362
0.109089022235,606.727838005
0.0164346608041,1136.24840985
0.00825178595754,4289.42952164
0.0162847765897,803.781894131
0.00727309513956,1881.63948857
0.0159238280504,316.936671506
0.00813813888448,2151.72678867
0.0113764647388,5518.65907301
0.0145323256063,350.849437575
0.014957737734,9293.22106863
0.011737521707,257.78020405
0.00855386841229,1433.91482635

5-Fold RMSE:,2624.95891735,6537.37267709,3055.25656237,6233.40957849,6233.40957849
Average 5-Fold RMSE:,4468.95238198

5-Fold rsquared:,-20.7444554567,-1.18974747027,-0.0817057284357,0.0434819822569,0.0434819822569
Average 5-Fold rsquared:,-4.35676316164
