topology_density,transError.numSamples.std
0.090756302521,4574.73377354
0.0557491289199,3504.51641908
0.0585365853659,4516.12281977
0.106666666667,1068.57195671
0.166666666667,257.853455343
0.222222222222,141.850142792
0.181818181818,182.929460449
0.0582793709528,3510.04999446
0.0611664295875,3935.77212331
0.0942028985507,4927.43898941
0.134502923977,363.803157271
0.133333333333,147.306005198
0.117647058824,2626.374729
0.142857142857,108.084781537
0.183333333333,1084.0791156
0.158333333333,183.153742003
0.171428571429,273.731419461
0.125,642.991734482
0.1,702.453163625
0.666666666667,1510.28589149
0.0619796484736,14727.7449601
0.122807017544,2308.33572565
0.0542635658915,15286.2712796
0.0984615384615,8108.00744572
0.100985221675,2866.01159506
0.0659536541889,24073.9681947
0.105263157895,2219.38941949
0.1,8919.29941979
0.105263157895,1725.55951023
0.0827586206897,3228.66340734
0.0630630630631,308.046732032
0.0690690690691,701.623265043
0.0655462184874,12253.024445
0.08,5103.87888822
0.0460829493088,12190.977691
0.0550724637681,10206.0904135
0.0505319148936,1947.88730019
0.0475113122172,4006.02426321
0.166666666667,189.939449112
0.0602564102564,2139.14201672
0.070564516129,4015.83521781
0.117647058824,968.189122803
0.0592334494774,5532.41528027
0.0909090909091,1328.17120275
0.109523809524,4913.35122961
0.0570048309179,897.213776087
0.0689655172414,12782.2996962
0.0641025641026,15884.6134701
0.0826210826211,3217.32940007
0.111111111111,4350.15152402
0.15,1687.4634671
0.0911680911681,2072.14962693
0.0952380952381,383.599850828
0.110526315789,2014.30380687
0.102766798419,1917.94562562
0.0611664295875,2174.75877982
0.0905797101449,1102.42140417
0.0866666666667,2925.49410622
0.105263157895,3355.85891523
0.0712643678161,490.102011085
0.0952380952381,432.474999277
0.125,473.088895362
0.105263157895,606.727838005
0.117647058824,1136.24840985
0.0621848739496,4289.42952164
0.0952380952381,803.781894131
0.0804597701149,1881.63948857
0.141666666667,316.936671506
0.0585585585586,2151.72678867
0.0773109243697,5518.65907301
0.141666666667,350.849437575
0.0978260869565,9293.22106863
0.122807017544,257.78020405
0.0804597701149,1433.91482635

5-Fold RMSE:,5634.32490584,3599.96205049,2944.68388309,8398.83093156,8398.83093156
Average 5-Fold RMSE:,5240.92734113

5-Fold rsquared:,-0.160949860113,0.159656936263,-0.00700465878522,-6.49823100534,-6.49823100534
Average 5-Fold rsquared:,-1.27694004244
