density,rotError.mean.mean
0.00808823529412,0.00804769565217
0.00955699352912,0.00518106666667
0.0116912972085,0.00745268421053
0.0344632768362,0.00380332142857
0.0215053763441,0.00530514285714
0.00925140387024,0.0113298387097
0.00519180106663,0.0100377916667
0.00722834459059,0.00991973913043
0.0129516019087,0.00654347826087
0.0176991150442,0.00574740540541
0.0190476190476,0.0063216
0.0253086419753,0.00609472
0.0246913580247,0.00695146666667
0.0173913043478,0.00522869444444
0.0238095238095,0.00419643333333
0.0285714285714,0.00586774285714
0.0090424298632,0.00836370833333
0.00713667820069,0.00957582352941
0.00740202062177,0.0118060833333
0.0131513647643,0.00680830434783
0.00484541088869,0.00944403448276
0.00866896039938,0.0102644642857
0.010447761194,0.0246713571429
0.00595238095238,0.00765891666667
0.0151079136691,0.00877191176471
0.0131567778627,0.00719391304348
0.0238095238095,0.0116620333333
0.00812851405622,0.0221704705882
0.00904977375566,0.00773861904762
0.00721522115147,0.0076692173913
0.00719244167105,0.0124832272727
0.0105263157895,0.0090522
0.00400898812284,0.0147335925926
0.00480478499412,0.0128114
0.00671096345515,0.0131788235294
0.0058288988948,0.0105658125
0.0263157894737,0.00586613043478
0.00938926320365,0.01122375
0.00892348585533,0.010821
0.0190476190476,0.00736969230769
0.00642957604983,0.012007125
0.00740228294708,0.00962695454545
0.015503875969,0.0105803333333
0.00952380952381,0.0089074
0.00724618860868,0.0112168965517
0.00697674418605,0.0137696
0.0108634470337,0.0132841714286
0.0097678694553,0.0079603902439
0.0116271344097,0.0102650357143
0.00765140004341,0.00904714285714
0.013986013986,0.0111931666667
0.0114093556717,0.0101992222222
0.0137931034483,0.00787177777778
0.00769163788349,0.0083908
0.0118343195266,0.0134036428571
0.00844979919679,0.0111335666667
0.0132155083194,0.00665304761905
0.0105814273905,0.0100887741935
0.0116959064327,0.0131854666667
0.0121212121212,0.0108286829268
0.103896103896,0.00526592307692
0.0161290322581,0.0074369
0.00793650793651,0.01176809375
0.013698630137,0.00650085185185
0.00836649321498,0.0117556666667
0.015873015873,0.00662575862069
0.0088868459358,0.0114198846154
0.00749872902898,0.00877604545455
0.0093023255814,0.00717885185185
0.00440412804838,0.00882771428571
0.0104161102505,0.00862746428571
0.00822963331674,0.00584372
0.00921283274224,0.0060295
0.00318368544601,0.0138904166667
