voronoi_numTerminalPoints,rotError.mean.mean
117,0.00781177272727
82,0.00518106666667
82,0.00745268421053
31,0.00380332142857
48,0.00530514285714
92,0.0108654444444
189,0.0100377916667
136,0.00976259090909
76,0.00654347826087
59,0.00574740540541
57,0.0063216
39,0.00609472
42,0.00695146666667
60,0.00530697297297
41,0.00419643333333
36,0.00586774285714
108,0.0080334137931
135,0.00957582352941
107,0.0113755652174
63,0.00664728571429
168,0.00940933333333
85,0.00862580769231
95,0.0175163076923
154,0.00585915384615
70,0.0080592
65,0.00719391304348
43,0.0116620333333
119,0.0185035384615
110,0.00794823076923
137,0.00808536363636
138,0.00828783870968
97,0.0090522
224,0.0130484230769
204,0.0102915384615
145,0.0115043333333
171,0.0112823142857
40,0.00535094117647
108,0.0116517083333
112,0.00985292
54,0.00736969230769
153,0.0124235769231
117,0.0109033461538
66,0.00870517391304
105,0.00633515384615
137,0.0100060769231
131,0.00994803703704
93,0.0114515483871
85,0.00746737837838
87,0.0102650357143
125,0.0086655
72,0.0111931666667
88,0.00878128
74,0.00787177777778
125,0.0083908
87,0.013150075
112,0.0103568888889
68,0.00629451282051
95,0.0100887741935
87,0.0114415
85,0.0108286829268
9,0.00529
62,0.0074369
125,0.0108653666667
72,0.00650085185185
118,0.0107349090909
64,0.00662575862069
108,0.0108217916667
126,0.00683478125
111,0.00717885185185
220,0.0361834583333
94,0.00648584615385
118,0.00584372
106,0.0060295
309,0.0163589615385

5-Fold RMSE:,0.00174209014825,0.00340630710514,0.00235449463886,0.00638930325594,0.00638930325594
Average 5-Fold RMSE:,0.00335176572282

5-Fold rsquared:,0.172593336521,0.245576639419,0.272717200247,-0.399815806278,-0.399815806278
Average 5-Fold rsquared:,0.0551751752855
