voronoi_edges,transError.numSamples.std
264,4496.65449768
288,1068.57195671
178,257.853455343
61,141.850142792
92,182.929460449
229,2244.05747734
404,3935.77212331
305,2874.5710625
171,363.803157271
112,147.306005198
104,2626.374729
82,108.084781537
80,1084.0791156
114,180.818284498
85,273.731419461
69,642.991734482
234,702.453163625
297,1510.28589149
285,14872.7918784
159,720.79837633
449,9225.92445392
257,3023.39259484
210,2651.41884337
337,24043.8800652
147,1616.41335473
155,8919.29941979
85,1725.55951023
253,1863.36560045
220,624.17813537
292,620.469279434
287,857.003410118
189,5103.87888822
562,1966.19530209
437,1057.23261059
303,1483.83345876
356,3961.17166175
75,165.786311893
216,2139.14201672
235,1428.99660238
104,968.189122803
320,5433.37490878
321,3842.62601996
128,1817.05743137
211,691.528513091
279,8506.08116752
315,3722.68290681
193,1936.04140841
255,4393.41939757
175,1687.4634671
282,2072.14962693
142,383.599850828
190,786.667567909
146,1917.94562562
265,2174.75877982
170,748.389444073
263,2608.69783514
166,1354.24201138
192,490.102011085
172,432.474999277
166,473.088895362
24,597.094712473
123,1136.24840985
253,3100.93252085
145,803.781894131
246,1700.53022844
125,316.936671506
232,2065.32399555
295,1024.40711512
214,350.849437575
469,3504.51641908
195,2631.23148885
248,257.78020405
226,1433.91482635
651,4268.01882728

5-Fold RMSE:,5488.02719446,1383.65666702,3872.68034771,3195.8600408,3195.8600408
Average 5-Fold RMSE:,3050.64284535

5-Fold rsquared:,-1.51115034808,0.152081486689,0.105011758872,-1.74332542226,-1.74332542226
Average 5-Fold rsquared:,-0.561043254363
