area,rotError.mean.std
3629.2829625,0.00314194787486
3749.9122125,0.000529720236435
515.11,0.00274200687267
92.620625,0.000868010041646
419.118560455,0.000988470995105
268.7265625,0.00396421114784
2711.72494554,0.00305267434636
1020.60351562,0.00323725683059
1120.46556127,0.00162224709611
441.159665625,0.00122251686463
768.704681585,0.00481593435646
375.53625,0.00139556645188
214.91426475,0.00295561424787
626.622469523,0.000970277349218
121.8046875,0.00087903722649
1233.26750596,0.00234359606884
2003.5,0.00196300121238
1244.54759766,0.00475371639426
279.4009375,0.00347532974758
256.2996875,0.00196074084985
434.9653125,0.00290945535533
397.378125,0.0031687609811
300.230625,0.00691864528074
325.31,0.00176297243951
231.629375,0.00288446249643
235.2825,0.00193137045088
547.4859375,0.00350567334933
1196.88557207,0.0101955133655
322.763125,0.00189316660463
1235.16935698,0.00409306542765
1486.08538919,0.0021898122043
5351.94959335,0.00268365863701
1312.1154,0.00416085194839
1269.8764875,0.00454871802084
290.0184375,0.00641385431356
704.7703125,0.00357712486121
323.6559375,0.00149199568169
786.936585364,0.00373159733983
1276.3958515,0.00227211409784
1203.42228531,0.00284573492967
774.963125,0.00416717640221
786.40125,0.00429998156474
1054.32679687,0.00262143524665
1224.61670978,0.0015716058183
2419.47625,0.00295077555546
1934.39945026,0.00347412036809
852.118300775,0.00393376291854
2354.8528125,0.00199420279203
1177.07375,0.00317220657184
3249.62426032,0.00212895982035
654.106850714,0.00283126115696
657.353612623,0.00452986510634
1073.86429004,0.00169591170353
2396.76446011,0.00167382816322
1041.21327443,0.00380101619562
1933.90139917,0.00567736820441
1647.76381253,0.00200585427637
1218.21311288,0.00290650421563
566.726642893,0.00604227499064
566.381786317,0.00633767378436
2313.45559827,0.00090005519672
1184.450625,0.00296056940863
459.930625,0.00379557550738
1119.8547,0.0018376947053
734.15,0.00342684333818
534.7525,0.0018378217927
1631.6725,0.0038392713065
365.2209375,0.00265952798602
460.9959375,0.00290145318257
707.949375,0.127889138475
1710.57095749,0.00273066403156
739.903125,0.00140772643706
2306.9446875,0.00163527502515
441.6625,0.00529794026363

5-Fold RMSE:,0.0025719916807,0.0034810942882,0.00291519522162,0.00221645515508,0.00221645515508
Average 5-Fold RMSE:,0.00890449004319

5-Fold rsquared:,-1.47293278087,-0.0763880731033,-2.82003661305,-2.97150881523,-2.97150881523
Average 5-Fold rsquared:,-2.26442597729
