topology_avg_closeness_centrality,rotError.mean.mean
0.284488279077,0.00781177272727
0.370535696424,0.00518106666667
0.358863475026,0.00745268421053
0.350465651995,0.00380332142857
0.567857142857,0.00530514285714
0.350927942074,0.0108654444444
0.427792565408,0.0100377916667
0.312405095581,0.00976259090909
0.329418318811,0.00654347826087
0.36624766393,0.00574740540541
0.325865200622,0.0063216
0.394037999891,0.00609472
0.417940572526,0.00695146666667
0.556821291735,0.00530697297297
0.464896387222,0.00419643333333
0.547413793103,0.00586774285714
0.273047839118,0.0080334137931
0.777777777778,0.00957582352941
0.341150943476,0.0113755652174
0.4281060583,0.00664728571429
0.42200643551,0.00940933333333
0.488065475429,0.00862580769231
0.461444444904,0.0175163076923
0.31302022507,0.00585915384615
0.458570826992,0.0080592
0.41996024624,0.00719391304348
0.53984962406,0.0116620333333
0.321027376431,0.0185035384615
0.189915402114,0.00794823076923
0.324047864311,0.00808536363636
0.33979368597,0.00828783870968
0.352171322103,0.0090522
0.259287867843,0.0130484230769
0.320506146099,0.0102915384615
0.275527456151,0.0115043333333
0.277062827077,0.0112823142857
0.4379649762,0.00535094117647
0.281287246979,0.0116517083333
0.307063318781,0.00985292
0.415539839586,0.00736969230769
0.261732493222,0.0124235769231
0.302416892695,0.0109033461538
0.384808883271,0.00870517391304
0.219125448248,0.00633515384615
0.401346505261,0.0100060769231
0.278481518716,0.00994803703704
0.315127997702,0.0114515483871
0.3736125688,0.00746737837838
0.452601597772,0.0102650357143
0.278791459505,0.0086655
0.391192719863,0.0111931666667
0.439189149067,0.00878128
0.297418731391,0.00787177777778
0.261752702654,0.0083908
0.408935571873,0.013150075
0.345619064651,0.0103568888889
0.320985703109,0.00629451282051
0.236469882369,0.0100887741935
0.351668103559,0.0114415
0.40030941228,0.0108286829268
0.348572411089,0.00529
0.338184595993,0.0074369
0.297037369872,0.0108653666667
0.343097345261,0.00650085185185
0.424645653444,0.0107349090909
0.552032019704,0.00662575862069
0.361359086553,0.0108217916667
0.387862468291,0.00683478125
0.406535603422,0.00717885185185
0.370196021598,0.0361834583333
0.401704629629,0.00648584615385
0.440632856899,0.00584372
0.394681310097,0.0060295
0.327739729602,0.0163589615385

5-Fold RMSE:,0.00213003750296,0.00193752304242,0.00370992986071,0.00318209253523,0.00318209253523
Average 5-Fold RMSE:,0.00376875714638

5-Fold rsquared:,0.00235966285659,-0.202850698293,-0.337552313837,0.0587167316734,0.0587167316734
Average 5-Fold rsquared:,-0.108680190368
