voronoi_std_closeness_centrality,rotError.numSamples.std
0.0162028340043,4496.65449768
0.0180723422608,1068.57195671
0.0143460382158,257.853455343
0.0334856533368,141.850142792
0.020401416029,182.929460449
0.0121833939039,2244.05747734
0.0101726693386,3935.77212331
0.0111789888503,2874.5710625
0.0129962715494,363.803157271
0.0155910611826,147.306005198
0.0161896572248,2626.374729
0.0246489555346,108.084781537
0.0225383671267,1084.0791156
0.0175173726078,180.818284498
0.0234215696698,273.731419461
0.0217815574121,642.991734482
0.0120222750025,702.453163625
0.0129204340926,1510.28589149
0.0105738429496,14872.7918784
0.0121048389773,720.79837633
0.00310742205166,9225.92445392
0.0141771999006,3023.39259484
0.0180681349112,2651.41884337
0.0122438733975,24043.8800652
0.0237913288013,1616.41335473
0.0143990925972,8919.29941979
0.0151231404527,1725.55951023
0.0115281691071,1863.36560045
0.0110998846989,624.17813537
0.012394935845,620.469279434
0.0110110099535,857.003410118
0.0130270578487,5103.87888822
0.00875221342896,1966.19530209
0.00976784712079,1057.23261059
0.010504734642,1483.83345876
0.00816683567122,3961.17166175
0.0250352459787,165.786311893
0.0110216500896,2139.14201672
0.0127664010297,1428.99660238
0.0192787369224,968.189122803
0.00952672556587,5433.37490878
0.00914047087579,3842.62601996
0.0161798718058,1817.05743137
0.0140280958987,691.528513091
0.0092818621892,8506.08116752
0.0136604729771,3722.68290681
0.0164595556523,1936.04140841
0.012871900677,4393.41939757
0.0131870913257,1687.4634671
0.0140545346879,2072.14962693
0.0164976378118,383.599850828
0.0185512356271,786.667567909
0.0147849607696,1917.94562562
0.0115088999888,2174.75877982
0.00955666431135,748.389444073
0.0136819240382,2608.69783514
0.0155996031848,1354.24201138
0.0117033474378,490.102011085
0.0168711330914,432.474999277
0.0174204601188,473.088895362
0.0519139466047,597.094712473
0.0156601313596,1136.24840985
0.0116531019994,3100.93252085
0.0158865164552,803.781894131
0.0101031055214,1700.53022844
0.021634134839,316.936671506
0.0104434238961,2065.32399555
0.012002439584,1024.40711512
0.0148984712614,350.849437575
0.00699868820091,3504.51641908
0.0133203744133,2631.23148885
0.0115536467413,257.78020405
0.0143915244288,1433.91482635
0.00741871144613,4268.01882728

5-Fold RMSE:,1969.7059057,1390.24731227,1599.38904414,4049.45608779,4049.45608779
Average 5-Fold RMSE:,3024.61032247

5-Fold rsquared:,0.162408923864,0.178161604994,-0.479319571037,-0.0583246991769,-0.0583246991769
Average 5-Fold rsquared:,-0.062649873334
