topology_diameter,transError.std.mean
7,0.778805
6,0.522405666667
7,0.611337304348
6,0.3833542
5,0.198447578947
6,0.12269
2,0.153758035714
6,0.492268548387
5,0.531760416667
7,0.440496478261
6,0.30601326087
6,0.133319189189
6,0.194677542857
6,0.11035772
5,0.139761666667
2,0.178345722222
3,0.2198439
2,0.243437428571
8,0.256086724138
2,0.338521882353
6,0.61062825
4,0.359939652174
5,0.708234558824
4,0.628137071429
4,0.443055071429
5,0.936557642857
4,0.398797941176
4,0.690604043478
2,0.404276533333
8,0.493052294118
13,0.232889238095
6,0.221677130435
6,0.341540409091
7,0.65674012
8,0.423536259259
8,0.4465398
8,0.306929823529
8,0.480697125
4,0.108247869565
8,0.236416833333
7,0.405104185185
4,0.273577115385
8,0.694026083333
6,0.480950272727
5,0.326498583333
12,0.4142652
4,0.500458896552
7,0.625794366667
8,0.379335257143
4,0.487031439024
3,0.309707785714
8,0.503770083333
4,0.218116833333
5,0.213804791667
6,0.310407555556
8,0.50208644
5,0.3024675
7,0.464581966667
6,0.379500214286
10,0.286365322581
6,0.19540578125
4,0.171382926829
6,0.326238777778
5,0.287927933333
7,0.50571615625
5,0.224714148148
4,0.500257916667
2,0.153626448276
6,0.398803653846
4,0.341757914286
5,0.203370592593
5,0.304974964286
4,0.17280424
5,0.366907921053

5-Fold RMSE:,0.156109551035,0.250561826779,0.126370175814,0.145423657651,0.145423657651
Average 5-Fold RMSE:,0.174495430171

5-Fold rsquared:,0.107063250874,-0.506039412583,-0.00864768444969,-0.0382563093843,-0.0382563093843
Average 5-Fold rsquared:,-0.0845651722611
