traversalTime,rotError.mean.mean
1349.09985599,0.00804769565217
919.718726924,0.00518106666667
419.663612797,0.00745268421053
211.703543676,0.00380332142857
265.490773911,0.00530514285714
1173.06783952,0.0113298387097
1490.99507567,0.0100377916667
841.175649661,0.00991973913043
512.459790786,0.00654347826087
183.023661923,0.00574740540541
288.952643527,0.0063216
191.014634059,0.00609472
162.313862645,0.00695146666667
384.763332574,0.00522869444444
546.868433022,0.00419643333333
384.284799509,0.00586774285714
1093.28515564,0.00836370833333
823.369821087,0.00957582352941
1603.67256076,0.0118060833333
726.421235223,0.00680830434783
1455.54715772,0.00944403448276
1342.9430314,0.0102644642857
608.712541442,0.0246713571429
1371.34741951,0.00765891666667
550.763056801,0.00877191176471
1001.59400158,0.00719391304348
498.802202458,0.0116620333333
951.22385554,0.0221704705882
633.149187702,0.00773861904762
808.608614515,0.0076692173913
897.190026783,0.0124832272727
1578.35836762,0.0090522
918.534020399,0.0147335925926
1008.03211816,0.0128114
870.931728251,0.0131788235294
1371.33686714,0.0105658125
274.928270325,0.00586613043478
658.752298095,0.01122375
750.178214424,0.010821
510.678711028,0.00736969230769
1567.27616653,0.012007125
1367.57529848,0.00962695454545
492.886623007,0.0105803333333
740.557101864,0.0089074
1069.35769226,0.0112168965517
1006.22432177,0.0137696
520.067365763,0.0132841714286
717.088483789,0.0079603902439
354.772213719,0.0102650357143
1193.67522752,0.00904714285714
439.245777626,0.0111931666667
431.491340742,0.0101992222222
425.603880936,0.00787177777778
1025.57459113,0.0083908
589.758911653,0.0134036428571
656.952316561,0.0111335666667
754.01694709,0.00665304761905
699.590611899,0.0100887741935
484.299613589,0.0131854666667
339.901939934,0.0108286829268
205.223499199,0.00526592307692
609.45010448,0.0074369
1187.28583886,0.01176809375
639.103357547,0.00650085185185
874.938568522,0.0117556666667
285.340344762,0.00662575862069
870.904226907,0.0114198846154
731.103227949,0.00877604545455
618.684245989,0.00717885185185
2080.31115619,0.00882771428571
786.534337607,0.00862746428571
653.648966259,0.00584372
1138.67499527,0.0060295
2035.82864252,0.0138904166667
