voronoi_traversal_rotation,rotError.std.mean
383.11155342,0.0134886818182
299.224987726,0.00848306666667
226.003670468,0.00990715789474
65.6201458925,0.00666489285714
119.373687987,0.00854714285714
298.40968252,0.0154531111111
531.828197886,0.0139629166667
350.187357947,0.0142382727273
194.123703961,0.00927660869565
136.791651053,0.00886394594595
142.527427016,0.0103236571429
93.9540558552,0.00831244
112.722731226,0.0120980666667
163.845822573,0.00902981081081
166.514228449,0.0070672
99.3153433059,0.00862697142857
294.725708146,0.0107663448276
393.873036041,0.0146358235294
463.90477356,0.0153069130435
189.655868233,0.00836128571429
493.115537244,0.0141560606061
273.909081263,0.0130143076923
291.098597003,0.0213154358974
247.053934824,0.0118386923077
212.580961906,0.0129007
255.161221325,0.0117434782609
154.379223345,0.0171069
321.530644611,0.00883107692308
403.087870914,0.00979857575758
425.021775933,0.0108434193548
293.121426335,0.01273672
593.843879979,0.0201676538462
538.679861002,0.0242387692308
459.10700613,0.0134642666667
473.944548731,0.0164263142857
144.966338136,0.008347
350.705972495,0.0136369583333
311.405157352,0.0145126
166.199693564,0.0110901538462
453.205692733,0.0162626538462
263.788701522,0.0139900769231
198.358452797,0.0113885652174
282.992600807,0.00808025641026
384.492596967,0.0127977692308
404.099217031,0.0142507037037
235.588634426,0.0175852258065
229.212945534,0.0131790810811
184.662743682,0.0140931785714
355.377918967,0.013008
171.74666032,0.0124418666667
224.47594753,0.01217428
167.825668593,0.0113095
307.207591809,0.01085984
239.186424328,0.013217275
276.832203798,0.0138498148148
226.516662992,0.00906033333333
261.569459102,0.0113865483871
231.322208878,0.01360234375
190.252000937,0.0114615121951
19.7037549351,0.00809121428571
181.358181073,0.0116139666667
329.711625302,0.0140091666667
186.04419983,0.0103575555556
342.429442135,0.0173899090909
154.630366434,0.0105403103448
356.5562977,0.0152154583333
344.249370086,0.00999909375
271.307075133,0.00975977777778
273.749097052,0.00897219230769
327.830406313,0.00749868
288.227981357,0.00801097368421

5-Fold RMSE:,0.00322529224158,0.00318686874402,0.00160867237492,0.00272204296929,0.00272204296929
Average 5-Fold RMSE:,0.00274232237678

5-Fold rsquared:,0.160915039867,0.481562390736,0.330562132847,-0.405671692318,-0.405671692318
Average 5-Fold rsquared:,0.200992935572
