voronoi_nodes,transError.numSamples.std
256,4496.65449768
246,1068.57195671
175,257.853455343
60,141.850142792
93,182.929460449
223,2244.05747734
395,3935.77212331
291,2874.5710625
163,363.803157271
113,147.306005198
105,2626.374729
81,108.084781537
81,1084.0791156
115,180.818284498
85,273.731419461
70,642.991734482
228,702.453163625
289,1510.28589149
278,14872.7918784
156,720.79837633
431,9225.92445392
244,3023.39259484
201,2651.41884337
337,24043.8800652
140,1616.41335473
154,8919.29941979
85,1725.55951023
250,1863.36560045
221,624.17813537
285,620.469279434
283,857.003410118
190,5103.87888822
530,1966.19530209
427,1057.23261059
301,1483.83345876
350,3961.17166175
76,165.786311893
215,2139.14201672
230,1428.99660238
105,968.189122803
316,5433.37490878
295,3842.62601996
129,1817.05743137
211,691.528513091
278,8506.08116752
301,3722.68290681
189,1936.04140841
229,4393.41939757
174,1687.4634671
272,2072.14962693
143,383.599850828
183,786.667567909
146,1917.94562562
263,2174.75877982
170,748.389444073
250,2608.69783514
159,1354.24201138
191,490.102011085
172,432.474999277
166,473.088895362
22,597.094712473
124,1136.24840985
253,3100.93252085
146,803.781894131
243,1700.53022844
126,316.936671506
229,2065.32399555
281,1024.40711512
215,350.849437575
462,3504.51641908
194,2631.23148885
246,257.78020405
222,1433.91482635
640,4268.01882728

5-Fold RMSE:,2491.2394726,3251.2767933,2117.18580464,5511.49031414,5511.49031414
Average 5-Fold RMSE:,2942.46458133

5-Fold rsquared:,0.367767095939,-6.24093089873,0.0128157746737,0.170240659766,0.170240659766
Average 5-Fold rsquared:,-1.14679981869
