topology_avg_closeness_centrality,rotError.std.std
0.327739729602,0.00568699616952
0.370196021598,0.218382402573
0.284488279077,0.00580885788305
0.370535696424,0.00238204213415
0.358863475026,0.00443794731193
0.350465651995,0.00221181244909
0.567857142857,0.00124875791759
0.350927942074,0.00670812510145
0.427792565408,0.00526352379524
0.312405095581,0.00913242766636
0.329418318811,0.00109827381314
0.36624766393,0.001820392131
0.325865200622,0.0115835540733
0.394037999891,0.00242628577179
0.417940572526,0.00881799279479
0.556821291735,0.00155158807808
0.464896387222,0.00133593491358
0.547413793103,0.0033034977955
0.273047839118,0.00427790386373
0.777777777778,0.010818340273
0.341150943476,0.00939720652641
0.4281060583,0.00241009476396
0.42200643551,0.0296182606338
0.488065475429,0.0239013077489
0.461444444904,0.0967031592699
0.31302022507,0.0220331329296
0.458570826992,0.00693154786835
0.41996024624,0.00719629727175
0.53984962406,0.00729724936466
0.321027376431,0.00928123177602
0.189915402114,0.00146296711826
0.324047864311,0.00345204746565
0.33979368597,0.0235237306324
0.352171322103,0.00431503222254
0.259287867843,0.0109164373752
0.320506146099,0.0384564311949
0.275527456151,0.0101640285899
0.277062827077,0.0060490277033
0.4379649762,0.00237160519209
0.281287246979,0.00533292057631
0.307063318781,0.00798833628714
0.415539839586,0.00480609803905
0.261732493222,0.00931314053418
0.302416892695,0.0035854966117
0.384808883271,0.0090749635613
0.219125448248,0.00197943739482
0.401346505261,0.00752716726779
0.278481518716,0.0245157322818
0.315127997702,0.0131644023743
0.3736125688,0.00816947942897
0.452601597772,0.00596216482169
0.278791459505,0.00468461053166
0.391192719863,0.00290363576381
0.439189149067,0.00664701953873
0.297418731391,0.00593740494427
0.261752702654,0.0031691424541
0.408935571873,0.00408505580913
0.345619064651,0.0074098626606
0.320985703109,0.00358325893136
0.236469882369,0.00295568783369
0.351668103559,0.00587875703598
0.40030941228,0.00492444947089
0.348572411089,0.00279567043769
0.338184595993,0.00668196581096
0.297037369872,0.00806206474837
0.343097345261,0.00651974844058
0.424645653444,0.0102982308024
0.552032019704,0.00348419817228
0.361359086553,0.00773341395644
0.387862468291,0.00606781674054
0.406535603422,0.0034764729288
0.401704629629,0.0129904271285
0.440632856899,0.00201918335413
0.394681310097,0.00303309851547

5-Fold RMSE:,0.00873447595866,0.00866405507166,0.0542584451358,0.00667849065205,0.00667849065205
Average 5-Fold RMSE:,0.0206611759989

5-Fold rsquared:,-8.69270976964,0.0122046576314,-8.84151243407,-0.0530925184564,-0.0530925184564
Average 5-Fold rsquared:,-3.52324843851
