voronoi_nodes,transError.mean.std
640,0.187622165382
462,0.117509395197
256,0.150879627982
246,0.0626106276575
175,0.0363222141704
60,0.0240230927776
93,0.0231752964896
223,0.244942705536
395,0.118403445404
291,0.25684750383
163,0.0468835943002
113,0.0525575836354
105,0.0652650350355
81,0.0380406378831
81,0.048698079138
115,0.0471928668924
85,0.015699391456
70,0.0795487657361
228,0.0609893108178
289,0.0634488000674
278,0.157331633444
156,0.225853461955
431,0.335983825039
244,0.192289958812
201,0.0925116985357
337,0.173005460782
140,0.150862439925
154,0.113382526137
85,0.0940625752148
250,0.228409668405
221,0.0484971177734
285,0.0700468458533
283,0.287812908678
190,0.109859637786
530,0.30823195051
427,0.251954545215
301,0.158847840005
350,0.112238353718
76,0.0402882774962
215,0.0825251437691
230,0.1264444763
105,0.0703616797672
316,0.114763250904
295,0.0896356459078
129,0.185040710074
211,0.14370205831
278,0.281651273406
301,0.217198105027
189,0.0868164172079
229,0.121972989288
174,0.0844506183324
272,0.0812632064472
143,0.0478290808047
183,0.165411061738
146,0.063039235743
263,0.0862053699096
170,0.123650418782
250,0.166220167829
159,0.205108169667
191,0.067525357097
172,0.0711609699581
166,0.0754858045801
22,0.0664587250454
124,0.06593977187
253,0.17018166168
146,0.060063217006
243,0.14039673261
126,0.0600886637503
229,0.141798879212
281,0.259118831645
215,0.0554747715395
194,0.22720282762
246,0.0490437767207
222,0.0852449136299

5-Fold RMSE:,0.0715760777741,0.0922727176389,0.0682849708839,0.0494584590472,0.0494584590472
Average 5-Fold RMSE:,0.0624028858348

5-Fold rsquared:,0.424511140242,0.44165583036,-0.969640370177,0.374296706553,0.374296706553
Average 5-Fold rsquared:,0.0954262897298
