voronoi_avg_katz_centrality,rotError.numSamples.std
0.00183164127162,4496.65449768
0.000837312826764,1068.57195671
0.00394092941488,257.853455343
0.00145841446799,141.850142792
0.0146319223525,182.929460449
0.0107227141849,2244.05747734
0.00212796668099,3935.77212331
0.000985497287792,2874.5710625
0.00675703959429,363.803157271
0.00394697265736,147.306005198
0.00313283454443,2626.374729
0.00463081790692,108.084781537
0.014956869664,1084.0791156
0.00721128299575,180.818284498
0.00749939520562,273.731419461
0.0099007638193,642.991734482
0.00567615536378,702.453163625
0.00522130790338,1510.28589149
0.00425521588337,14872.7918784
0.021034321157,720.79837633
0.00237931914125,9225.92445392
0.00620759969978,3023.39259484
0.0136513798415,2651.41884337
0.00183923477374,24043.8800652
0.00819877290375,1616.41335473
0.0115555452936,8919.29941979
0.018545199377,1725.55951023
0.00263691501963,1863.36560045
0.00677245448604,624.17813537
0.005195100978,620.469279434
0.00473407332978,857.003410118
0.0125305043955,5103.87888822
0.000137398924846,1966.19530209
0.000464141250352,1057.23261059
0.00349157537483,1483.83345876
0.00172767015839,3961.17166175
0.000428806088121,165.786311893
0.00507480131819,2139.14201672
0.00414675006167,1428.99660238
0.0118453240216,968.189122803
0.00305737359108,5433.37490878
0.00165416922011,3842.62601996
0.00368457372095,1817.05743137
0.00813047107868,691.528513091
0.00470260844059,8506.08116752
0.00337661950533,3722.68290681
0.00454144763295,1936.04140841
0.00687453878969,4393.41939757
0.00612971140873,1687.4634671
0.00267346179467,2072.14962693
0.00264952251783,383.599850828
0.00304978048946,786.667567909
0.00683271156337,1917.94562562
0.00269504009836,2174.75877982
0.0132370052728,748.389444073
0.00593057110261,2608.69783514
0.00819487385135,1354.24201138
0.00445588535513,490.102011085
0.00310224192568,432.474999277
0.00668719690136,473.088895362
0.061080293104,597.094712473
0.0106672029474,1136.24840985
0.00276541182543,3100.93252085
0.00822004045619,803.781894131
0.000254586441506,1700.53022844
0.00175031397817,316.936671506
0.00249469745735,2065.32399555
0.00541741932639,1024.40711512
0.00457633157256,350.849437575
0.00330166049308,3504.51641908
0.00770788343339,2631.23148885
0.00232036210858,257.78020405
9.65147538731e-05,1433.91482635
0.00195573996648,4268.01882728

5-Fold RMSE:,1812.02174867,2192.72155606,1556.25650023,7317.59302269,7317.59302269
Average 5-Fold RMSE:,2942.52152883

5-Fold rsquared:,0.0345987210063,-0.0615594525301,0.0117262253528,-0.551328496802,-0.551328496802
Average 5-Fold rsquared:,-0.700629183067
