avgRoomArea,transError.std.mean
7977.65771283,0.597974409091
21173.5347899,0.3833542
624.168754832,0.198447578947
80.8425765625,0.12269
1471.88578033,0.153758035714
34.881097464,0.443964518519
2549.50107571,0.531760416667
1963.40434773,0.402073772727
2780.84323949,0.30601326087
1048.19797,0.133319189189
2295.96385831,0.194677542857
722.891074407,0.11035772
238.733433348,0.139761666667
1918.774887,0.178360027027
68.8216068272,0.2198439
6551.51671392,0.243437428571
6943.03896001,0.256086724138
1733.7689016,0.338521882353
35.6467956188,0.583932391304
151.362690548,0.325802619048
99.3657311669,0.59423269697
301.946595142,0.577431384615
121.68372176,0.38375874359
117.729480802,0.698436384615
159.178043584,0.3659623
159.188760688,0.690604043478
859.936380576,0.404276533333
1770.82512649,0.441453846154
91.9816248562,0.237735884615
1183.72809077,0.225124575758
1997.3848037,0.256219483871
49524.5924242,0.65674012
469.164697244,0.358577384615
943.370778453,0.362996384615
42.0407507992,0.287370933333
199.193698175,0.50726
788.58765325,0.0964399411765
453.458902845,0.236416833333
1693.17206751,0.35981112
5552.49887159,0.273577115385
363.343164941,0.702296269231
1289.36416825,0.558222807692
2951.87623731,0.282527217391
977.277898735,0.292004974359
5426.47434551,0.441571769231
2722.63884182,0.501131740741
1209.03521613,0.346335935484
16879.3303371,0.466183297297
5157.30973711,0.309707785714
15832.5442995,0.503770083333
1087.11846417,0.218116833333
1294.3483084,0.1932868
2704.27313193,0.310407555556
4465.17802586,0.50208644
2060.46065176,0.29558275
6566.39327632,0.442420407407
7841.40851591,0.337067487179
1885.83138054,0.286365322581
684.955365045,0.19540578125
1404.46439982,0.171382926829
17362.1361915,0.327402357143
5741.66815356,0.287927933333
202.653527556,0.466749133333
3232.68514713,0.224714148148
654.353986368,0.483949818182
1364.62420536,0.153626448276
2100.80696472,0.380862583333
114.824991211,0.2900733125
1050.81706285,0.203370592593
286.445046973,0.522405666667
5620.85672307,0.237020576923
1918.72960961,0.17280424
5899.38741064,0.366907921053
37.5123784326,0.789124346154

5-Fold RMSE:,0.134510170802,0.198750215853,0.14283982206,0.162859440486,0.162859440486
Average 5-Fold RMSE:,0.156431441253

5-Fold rsquared:,-0.281844312013,-0.147435207511,-0.0674740555514,-0.215259075608,-0.215259075608
Average 5-Fold rsquared:,-0.181331356566
