topology_avg_eigenvector_centrality,rotError.numSamples.std
0.113226954911,4496.65449768
0.15823892784,1068.57195671
0.220862517752,257.853455343
0.289813254238,141.850142792
0.255343126462,182.929460449
0.110396908215,2244.05747734
0.123966518411,3935.77212331
0.145353392472,2874.5710625
0.168397280035,363.803157271
0.219330026797,147.306005198
0.21036718925,2626.374729
0.207059648579,108.084781537
0.204125528772,1084.0791156
0.218161382726,180.818284498
0.230939345144,273.731419461
0.215357473045,642.991734482
0.133192244046,702.453163625
0.569035593729,1510.28589149
0.112421327167,14872.7918784
0.189310947774,720.79837633
0.117099210659,9225.92445392
0.160895527543,3023.39259484
0.150746564917,2651.41884337
0.125390723695,24043.8800652
0.187043352329,1616.41335473
0.184013731576,8919.29941979
0.19511088322,1725.55951023
0.13865641287,1863.36560045
0.110011276684,624.17813537
0.118473793797,620.469279434
0.126010953526,857.003410118
0.148732170502,5103.87888822
0.0976862702812,1966.19530209
0.101913121764,1057.23261059
0.0917543071379,1483.83345876
0.102965149381,3961.17166175
0.243823786365,165.786311893
0.0996411169057,2139.14201672
0.141536517399,1428.99660238
0.202768108095,968.189122803
0.103876954315,5433.37490878
0.177507132432,3842.62601996
0.177732551984,1817.05743137
0.0849988140114,691.528513091
0.145123925159,8506.08116752
0.115000447066,3722.68290681
0.137963629888,1936.04140841
0.19029821377,4393.41939757
0.212455101814,1687.4634671
0.14158313783,2072.14962693
0.175986025184,383.599850828
0.179686344074,786.667567909
0.150600129793,1917.94562562
0.124066045206,2174.75877982
0.162656297032,748.389444073
0.152601241746,2608.69783514
0.176734832805,1354.24201138
0.138402754199,490.102011085
0.174127568122,432.474999277
0.211605641264,473.088895362
0.194446635085,597.094712473
0.207590251003,1136.24840985
0.124928999144,3100.93252085
0.180911427975,803.781894131
0.144827625308,1700.53022844
0.216969516308,316.936671506
0.133171073548,2065.32399555
0.131709467573,1024.40711512
0.213365923892,350.849437575
0.112870781893,3504.51641908
0.162006200604,2631.23148885
0.192836011616,257.78020405
0.142728448751,1433.91482635
0.137505066747,4268.01882728

5-Fold RMSE:,3528.6149186,1360.6683584,5873.96659902,3463.61324474,3463.61324474
Average 5-Fold RMSE:,3281.790929

5-Fold rsquared:,0.124369912263,-2.18019343279,0.0449848940387,0.0149061493472,0.0149061493472
Average 5-Fold rsquared:,-0.779766382998
