entropy,rotError.mean.mean
0.3221447186,0.00781177272727
0.470907976972,0.00518106666667
0.523778963834,0.00745268421053
0.395497312924,0.00380332142857
0.328353771228,0.00530514285714
0.29333028783,0.0108654444444
0.370370404356,0.0100377916667
0.274988878465,0.00976259090909
0.206876229631,0.00654347826087
0.538030318706,0.00574740540541
0.295756027505,0.0063216
0.380368228615,0.00609472
0.382280806687,0.00695146666667
0.479363399065,0.00530697297297
0.348905806613,0.00419643333333
0.333070872241,0.00586774285714
0.254912011889,0.0080334137931
0.55908348168,0.00957582352941
0.308572760262,0.0113755652174
0.318539406313,0.00664728571429
0.277888866018,0.00940933333333
0.284676724208,0.00862580769231
0.297507395277,0.0175163076923
0.204850511929,0.00585915384615
0.234452734746,0.0080592
0.306951959387,0.00719391304348
0.335083355922,0.0116620333333
0.446540182952,0.0185035384615
0.505791691597,0.00794823076923
0.510763420494,0.00808536363636
0.329875981726,0.00828783870968
0.39131588904,0.0090522
0.756474176243,0.0130484230769
0.636473091808,0.0102915384615
0.607846472941,0.0115043333333
0.568528908897,0.0112823142857
0.558090194533,0.00535094117647
0.398900389202,0.0116517083333
0.51387932211,0.00985292
0.393196937981,0.00736969230769
0.484828329434,0.0124235769231
0.37395692585,0.0109033461538
0.410231936509,0.00870517391304
0.326105044278,0.00633515384615
0.521749511142,0.0100060769231
0.405325651205,0.00994803703704
0.333393618806,0.0114515483871
0.437642046974,0.00746737837838
0.329219680936,0.0102650357143
0.255193614573,0.0086655
0.291600149817,0.0111931666667
0.360445393349,0.00878128
0.50107086266,0.00787177777778
0.527835552252,0.0083908
0.380530385989,0.013150075
0.529081411403,0.0103568888889
0.450537965723,0.00629451282051
0.442437535411,0.0100887741935
0.423383015861,0.0114415
0.454458774711,0.0108286829268
0.433576786625,0.00529
0.488364877974,0.0074369
0.554227610854,0.0108653666667
0.438986776868,0.00650085185185
0.472547868952,0.0107349090909
0.464185790183,0.00662575862069
0.557906180205,0.0108217916667
0.63559816881,0.00683478125
0.482066878387,0.00717885185185
0.568207500774,0.0361834583333
0.452134192471,0.00648584615385
0.553248122712,0.00584372
0.313819750698,0.0060295
0.687950739326,0.0163589615385

5-Fold RMSE:,0.00359286201595,0.00363648836685,0.00230666225465,0.00234554419066,0.00234554419066
Average 5-Fold RMSE:,0.00385772608323

5-Fold rsquared:,-0.314030636547,-0.00923880531693,0.0909089795157,-0.097100542062,-0.097100542062
Average 5-Fold rsquared:,-0.158453702201
