avgRoomPerimeter,transError.mean.std
1364.92084998,0.128810550931
2504.05291544,0.0626106276575
397.608743609,0.0363222141704
158.574001973,0.0240230927776
635.88614888,0.0231752964896
108.968542951,0.12471567563
1528.34984877,0.118403445404
759.248936383,0.105974371826
907.63600807,0.0468835943002
529.397177254,0.0525575836354
720.429585269,0.0652650350355
443.595373769,0.0380406378831
231.338538533,0.048698079138
655.562672363,0.0465531383268
162.29472605,0.015699391456
1446.42707976,0.0795487657361
1054.23420007,0.0609893108178
539.066583437,0.0634488000674
99.2869208384,0.121656676099
252.355785617,0.108765944747
191.722481992,0.116482183881
379.091758694,0.123971354033
262.262352826,0.117014135854
191.601876363,0.093854286797
294.819744545,0.0949115380575
252.559291854,0.113382526137
632.972242461,0.0940625752148
707.007128463,0.143229486163
152.416788175,0.0476951664389
511.089909024,0.0815122877936
855.595083334,0.0482871281887
3522.51982697,0.109859637786
345.9363477,0.0815752280843
650.998139899,0.0639775660122
120.176589697,0.0966037993107
264.066070953,0.130209711384
462.675505543,0.0344430098623
381.143373035,0.0825251437691
758.966768091,0.0787229033116
1344.71238759,0.0703616797672
351.259423682,0.136893046155
575.918221531,0.131748844655
973.132170798,0.0638479804609
557.871193445,0.0832238780337
1503.33670222,0.112655965246
774.553634232,0.0882750414235
555.98246505,0.0630703094014
2161.19207626,0.0904968358626
1410.68850812,0.0844506183324
2284.5563757,0.0812632064472
511.212845367,0.0478290808047
630.752429175,0.0665534059179
894.483397546,0.063039235743
1099.36562113,0.0862053699096
630.451496107,0.0951669768786
1194.83545134,0.0936298052555
1792.08753811,0.083845172989
525.16858287,0.067525357097
391.018440217,0.0711609699581
645.16136179,0.0754858045801
2075.92330798,0.0666286445176
1164.69698299,0.06593977187
248.223687618,0.119219125795
874.059231919,0.060063217006
470.90808455,0.0967598598958
527.296427239,0.0600886637503
844.944967104,0.103345628507
219.335679185,0.0960266591481
558.011810887,0.0554747715395
288.41201767,0.117509395197
1406.85593365,0.0976733690521
682.400594462,0.0490437767207
2023.67071564,0.0852449136299
112.337263592,0.18024925237

5-Fold RMSE:,0.0283197778656,0.0406309246237,0.0271458704626,0.0233234382029,0.0233234382029
Average 5-Fold RMSE:,0.031443223943

5-Fold rsquared:,-0.205208436711,-0.0354198240013,-0.428197618019,-0.017404830777,-0.017404830777
Average 5-Fold rsquared:,-0.178909027487
