wallRatio,transError.std.std
95.5085578123,0.197657005465
58.5,0.0888341978949
259.861982598,0.0536568207547
79.1568064035,0.0531756045959
156.077544829,0.0388866547706
254.000492126,0.207135681695
107.75,0.204774691356
85.0,0.258492090208
150.372087523,0.0429963941514
116.372247551,0.0500640527086
79.9034139168,0.160692173355
152.105884173,0.0364422115207
140.405128111,0.115579807708
70.2032762768,0.0370592039719
111.803398875,0.0491585794691
52.3333333333,0.0890782760547
159.476547589,0.092571482715
107.12901101,0.138087316178
75.0,0.283472780901
85.5,0.155756377989
82.2192191644,0.273444335576
85.6692606611,0.301796672041
146.017550315,0.15137538147
42.5,1.09223982879
40.7940417972,0.167680135625
116.833333333,0.390698889866
54.6829244118,0.145785206544
195.799193881,0.23374692862
52.3630080819,0.0547581142166
72.7590861363,0.0669920319093
137.333434466,0.391347667119
195.0,0.258741211908
57.795023193,0.35561401166
62.8,0.382246016935
64.1950153828,0.155138806672
47.3333333333,0.177945288381
134.713399482,0.0530782981644
75.894663844,0.0549553057413
64.2505870093,0.21615872905
64.8333333333,0.0819226964463
113.5,0.293317732168
59.6003355695,0.127652611947
116.659635642,0.221674636893
75.5,0.0853392946102
61.75,0.357301613152
119.221642331,0.453233740742
100.215345056,0.179230997901
113.84243497,0.236587447923
100.762716319,0.110170635227
108.5,0.188751485919
61.0,0.0621497895481
69.3375245282,0.0834510200204
162.786363065,0.126944549297
60.9924333264,0.109794391941
276.335142736,0.107098494917
125.858650875,0.151433371273
136.792027631,0.185990376251
170.018165119,0.064450068138
186.752431278,0.0378693543451
94.2,0.075847820682
121.115647214,0.117333490955
125.858650875,0.129796983767
69.0004528971,0.239664370415
60.5556574923,0.105334107197
54.7144722115,0.149483092715
76.8259771772,0.0596299714663
56.5108006335,0.141523549212
185.4,0.294155507688
39.8571428571,0.0743403423368
68.2,0.198682666526
88.2524787187,0.355724934863
103.815447111,0.0562958637779
359.666821131,0.116143743091
82.25,0.177137692319
