topology_avg_betweenness_centrality,rotError.numSamples.std
0.0651387827858,4574.73377354
0.0450348432056,3504.51641908
0.0677298311445,4516.12281977
0.0785507246377,1068.57195671
0.171328671329,257.853455343
0.244444444444,141.850142792
0.0818181818182,182.929460449
0.0430054476308,3510.04999446
0.0396317370002,3935.77212331
0.106554677207,4927.43898941
0.12693498452,363.803157271
0.141391941392,147.306005198
0.145098039216,2626.374729
0.128937728938,108.084781537
0.107142857143,1084.0791156
0.060119047619,183.153742003
0.0930402930403,273.731419461
0.0625,642.991734482
0.123188405797,702.453163625
0.333333333333,1510.28589149
0.0447939150992,14727.7449601
0.0835913312693,2308.33572565
0.0346271236799,15286.2712796
0.0462820512821,8108.00744572
0.0456121145776,2866.01159506
0.0721368092692,24073.9681947
0.0746474028208,2219.38941949
0.0809941520468,8919.29941979
0.0526315789474,1725.55951023
0.0803776683087,3228.66340734
0.127799227799,308.046732032
0.0618618618619,701.623265043
0.0622358034123,12253.024445
0.0855072463768,5103.87888822
0.0483073539657,12190.977691
0.0512077294686,10206.0904135
0.0603415047795,1947.88730019
0.0541025641026,4006.02426321
0.124708624709,189.939449112
0.0702091767881,2139.14201672
0.0786962365591,4015.83521781
0.0990196078431,968.189122803
0.0726480836237,5532.41528027
0.11405985319,1328.17120275
0.0884711779449,4913.35122961
0.0858805445762,897.213776087
0.0555829228243,12782.2996962
0.071322537112,15884.6134701
0.0939031339031,3217.32940007
0.103887168903,4350.15152402
0.0916666666667,1687.4634671
0.109401709402,2072.14962693
0.0867167919799,383.599850828
0.0763157894737,2014.30380687
0.116318464145,1917.94562562
0.0813181602655,2174.75877982
0.0693346508564,1102.42140417
0.0886956521739,2925.49410622
0.125438596491,3355.85891523
0.121100164204,490.102011085
0.0974025974026,432.474999277
0.11369047619,473.088895362
0.115927072583,606.727838005
0.138235294118,1136.24840985
0.0755793226381,4289.42952164
0.10626566416,803.781894131
0.0506568144499,1881.63948857
0.0613095238095,316.936671506
0.052380952381,2151.72678867
0.0501145912911,5518.65907301
0.110714285714,350.849437575
0.0716403162055,9293.22106863
0.0791193670451,257.78020405
0.0574712643678,1433.91482635

5-Fold RMSE:,5666.4539408,2706.92793768,3089.95345207,4004.82738333,4004.82738333
Average 5-Fold RMSE:,4279.08389159

5-Fold rsquared:,-0.0595968596515,0.189387098915,0.25619370646,-0.0196571841076,-0.0196571841076
Average 5-Fold rsquared:,0.047791841665
