area,transError.numSamples.mean
3629.2829625,4854.31818182
3749.9122125,2208.2
515.11,533.736842105
92.620625,281.035714286
419.118560455,375.75
268.7265625,2982.96296296
2711.72494554,4729.04166667
1020.60351562,2494.54545455
1120.46556127,1109.95652174
441.159665625,244.540540541
768.704681585,830.8
375.53625,180.0
214.91426475,450.733333333
626.622469523,456.135135135
121.8046875,628.1
1233.26750596,954.971428571
2003.5,914.034482759
1244.54759766,2059.76470588
279.4009375,8438.2173913
256.2996875,1611.28571429
434.9653125,6025.96969697
397.378125,4245.57692308
300.230625,2369.74358974
325.31,11003.8461538
231.629375,2018.0
235.2825,8121.34782609
547.4859375,2459.1
1196.88557207,2825.15384615
322.763125,898.038461538
1235.16935698,845.545454545
1486.08538919,908.161290323
5351.94959335,6648.12
1312.1154,2004.73076923
1269.8764875,1650.23076923
290.0184375,1444.0
704.7703125,4167.25714286
323.6559375,160.676470588
786.936585364,1054.375
1276.3958515,1731.48
1203.42228531,1206.76923077
774.963125,6763.84615385
786.40125,4317.96153846
1054.32679687,1501.82608696
1224.61670978,1183.46153846
2419.47625,4219.69230769
1934.39945026,3851.77777778
852.118300775,2071.29032258
2354.8528125,3696.67567568
1177.07375,1492.89285714
3249.62426032,3379.41666667
654.106850714,655.766666667
657.353612623,619.76
1073.86429004,1611.27777778
2396.76446011,3842.36
1041.21327443,1278.8
1933.90139917,2906.77777778
1647.76381253,1697.56410256
1218.21311288,1119.77419355
566.726642893,581.0
566.381786317,510.341463415
2313.45559827,1266.60714286
1184.450625,1420.46666667
459.930625,3455.96666667
1119.8547,754.666666667
734.15,2924.18181818
534.7525,407.793103448
1631.6725,2267.29166667
365.2209375,1168.5
460.9959375,609.074074074
707.949375,4291.20833333
1710.57095749,1209.07692308
739.903125,461.08
2306.9446875,1971.81578947
441.6625,8361.53846154

5-Fold RMSE:,2665.1863689,1799.98541431,2243.08625992,1426.14651876,1426.14651876
Average 5-Fold RMSE:,2196.03953956

5-Fold rsquared:,-0.1480613919,0.037065677745,-0.0799190298818,0.023870199775,0.023870199775
Average 5-Fold rsquared:,-0.159845180528
