topology_avg_katz_centrality,transError.std.std
0.164520601552,0.210038240515
0.14490959715,0.167837658831
0.152012508979,0.230568556601
0.19348855763,0.0888341978949
0.274857823643,0.0536568207547
0.315688199115,0.0531756045959
0.281188123319,0.0388866547706
0.13687879313,0.207135681695
0.149691632732,0.204774691356
0.200394557396,0.258492090208
0.225986597665,0.0429963941514
0.255507311148,0.0500640527086
0.240292386743,0.160692173355
0.253883083042,0.0364422115207
0.245140367357,0.115579807708
0.240554468057,0.0370592039719
0.253300745845,0.0491585794691
0.240402348022,0.0890782760547
0.197358951489,0.0933187599678
0.576851478367,0.138087316178
0.137896297217,0.283472780901
0.222462593068,0.155756377989
0.140375197828,0.431148459783
0.184491558962,0.301796672041
0.174610713191,0.15137538147
0.168023315729,1.02365065259
0.221789361423,0.167680135625
0.217728809152,0.390698889866
0.21855578736,0.145785206544
0.177783461173,0.23374692862
0.162643088488,0.0547581142166
0.15905127118,0.0669920319093
0.162992923157,0.391347667119
0.194677300978,0.258741211908
0.122273092524,0.35561401166
0.139000400145,0.382246016935
0.137439770012,0.155138806672
0.134265682771,0.177945288381
0.273817367365,0.0530782981644
0.153884368942,0.150426578073
0.173718373605,0.21615872905
0.23768993686,0.0819226964463
0.151720774244,0.293317732168
0.205673933659,0.127652611947
0.213572373485,0.221674636893
0.144439568071,0.0853392946102
0.17493981875,0.357301613152
0.153835261752,0.453233740742
0.187006207323,0.179230997901
0.225837365907,0.236587447923
0.244355748718,0.110170635227
0.190490479867,0.172007018126
0.21338935033,0.0621497895481
0.215991842591,0.171951321611
0.20472205591,0.126944549297
0.158341350822,0.109794391941
0.197191271315,0.107098494917
0.194739301254,0.151433371273
0.22139266437,0.185990376251
0.180352476788,0.064450068138
0.209504868068,0.0692099506632
0.24633950968,0.075847820682
0.226325241251,0.115451416633
0.240534450369,0.129796983767
0.165392862514,0.239664370415
0.215217790547,0.105334107197
0.17256521982,0.149483092715
0.240540169197,0.0596299714663
0.156033511459,0.141523549212
0.159984669078,0.242795647909
0.245946325233,0.0743403423368
0.197164987585,0.355724934863
0.222971811884,0.0562958637779
0.175433513511,0.116143743091

5-Fold RMSE:,0.10806949017,0.249022397727,0.0940402716608,0.062695957476,0.062695957476
Average 5-Fold RMSE:,0.13697455932

5-Fold rsquared:,-0.169853102812,0.308889377713,-0.0198320666099,-1.91094684376,-1.91094684376
Average 5-Fold rsquared:,-0.318679192836
