topology_numBifurcationPoints,transError.mean.std
20,0.187622165382
8,0.117509395197
12,0.150879627982
8,0.0626106276575
3,0.0363222141704
2,0.0240230927776
1,0.0231752964896
14,0.244942705536
4,0.118403445404
5,0.25684750383
5,0.0468835943002
3,0.0525575836354
5,0.0652650350355
2,0.0380406378831
9,0.048698079138
3,0.0471928668924
4,0.015699391456
1,0.0795487657361
9,0.0609893108178
0,0.0634488000674
17,0.157331633444
4,0.225853461955
6,0.335983825039
5,0.192289958812
9,0.0925116985357
12,0.173005460782
1,0.150862439925
2,0.113382526137
1,0.0940625752148
8,0.228409668405
12,0.0484971177734
10,0.0700468458533
7,0.287812908678
3,0.109859637786
28,0.30823195051
10,0.251954545215
15,0.158847840005
14,0.112238353718
3,0.0402882774962
10,0.0825251437691
9,0.1264444763
3,0.0703616797672
15,0.114763250904
5,0.0896356459078
5,0.185040710074
22,0.14370205831
3,0.281651273406
13,0.217198105027
5,0.0868164172079
3,0.121972989288
3,0.0844506183324
12,0.0812632064472
3,0.0478290808047
4,0.165411061738
7,0.063039235743
9,0.0862053699096
4,0.123650418782
5,0.166220167829
3,0.205108169667
7,0.067525357097
4,0.0711609699581
3,0.0754858045801
3,0.0664587250454
5,0.06593977187
7,0.17018166168
4,0.060063217006
6,0.14039673261
1,0.0600886637503
3,0.141798879212
11,0.259118831645
3,0.0554747715395
5,0.22720282762
4,0.0490437767207
5,0.0852449136299

5-Fold RMSE:,0.0676397983077,0.069054358984,0.0854112602637,0.0651348712766,0.0651348712766
Average 5-Fold RMSE:,0.0707128527997

5-Fold rsquared:,-0.0462812231564,-0.10313437017,0.255542395257,0.091795649287,0.091795649287
Average 5-Fold rsquared:,0.0527799938834
