diameter,transError.std.mean
28,0.610577304348
36,0.3833542
29,0.198447578947
11,0.12269
22,0.153758035714
26,0.492268548387
39,0.531760416667
38,0.440496478261
39,0.30601326087
31,0.133319189189
27,0.194677542857
19,0.11035772
19,0.139761666667
26,0.178345722222
16,0.2198439
20,0.243437428571
39,0.273808166667
38,0.338521882353
41,0.61062825
24,0.359939652174
51,0.588087103448
44,0.628137071429
21,0.443055071429
31,0.999427916667
18,0.398797941176
27,0.690604043478
16,0.404276533333
45,0.493052294118
43,0.232889238095
37,0.221677130435
30,0.341540409091
36,0.65674012
44,0.423536259259
55,0.4465398
38,0.306929823529
41,0.480697125
15,0.108247869565
28,0.1948145
31,0.405104185185
24,0.273577115385
39,0.694026083333
51,0.480950272727
34,0.326498583333
43,0.4142652
34,0.500458896552
40,0.625794366667
28,0.379335257143
40,0.487031439024
24,0.309707785714
31,0.515047357143
31,0.218116833333
23,0.219631666667
33,0.310407555556
45,0.50208644
26,0.3024675
31,0.464581966667
27,0.379500214286
46,0.286365322581
30,0.206892133333
28,0.171382926829
8,0.324577269231
31,0.287927933333
38,0.50571615625
28,0.224714148148
31,0.500257916667
25,0.153626448276
32,0.398803653846
27,0.389266045455
35,0.203370592593
49,0.525956928571
30,0.304974964286
35,0.17280424
29,0.366907921053
52,0.741109166667
