avgRoomPerimeter,transError.std.std
1364.92084998,0.226872799473
2504.05291544,0.0888341978949
397.608743609,0.0536568207547
158.574001973,0.0531756045959
635.88614888,0.0388866547706
108.968542951,0.156091446153
1528.34984877,0.204774691356
759.248936383,0.189473879231
907.63600807,0.0429963941514
529.397177254,0.0500640527086
720.429585269,0.160692173355
443.595373769,0.0364422115207
231.338538533,0.115579807708
655.562672363,0.0365550743802
162.29472605,0.0491585794691
1446.42707976,0.0890782760547
1054.23420007,0.0933187599678
539.066583437,0.138087316178
99.2869208384,0.258353516079
252.355785617,0.0779121061829
191.722481992,0.259494989064
379.091758694,0.214149069586
262.262352826,0.160472378798
191.601876363,0.578481679757
294.819744545,0.14193715639
252.559291854,0.390698889866
632.972242461,0.145785206544
707.007128463,0.196101691352
152.416788175,0.0540020208264
511.089909024,0.0639730578518
855.595083334,0.0642383791162
3522.51982697,0.258741211908
345.9363477,0.131888311652
650.998139899,0.126072926139
120.176589697,0.124697260981
264.066070953,0.192108034661
462.675505543,0.0517409309399
381.143373035,0.150426578073
758.966768091,0.141387393986
1344.71238759,0.0819226964463
351.259423682,0.284322556163
575.918221531,0.268748777682
973.132170798,0.0698040570684
557.871193445,0.0777311359681
1503.33670222,0.221015525555
774.553634232,0.170190402896
555.98246505,0.10685390071
2161.19207626,0.237490765274
1410.68850812,0.110170635227
2284.5563757,0.172007018126
511.212845367,0.0621497895481
630.752429175,0.110615023941
894.483397546,0.126944549297
1099.36562113,0.109794391941
630.451496107,0.0809823194632
1194.83545134,0.12386252947
1792.08753811,0.0966363792344
525.16858287,0.064450068138
391.018440217,0.0692099506632
645.16136179,0.075847820682
2075.92330798,0.113532147819
1164.69698299,0.129796983767
248.223687618,0.192206970562
874.059231919,0.105334107197
470.90808455,0.145524364411
527.296427239,0.0596299714663
844.944967104,0.130217601143
219.335679185,0.0974594238893
558.011810887,0.0743403423368
288.41201767,0.167837658831
1406.85593365,0.168709916846
682.400594462,0.0562958637779
2023.67071564,0.116143743091
112.337263592,0.206076064429

5-Fold RMSE:,0.0755051083772,0.0740231101416,0.0946269025296,0.0471234757904,0.0471234757904
Average 5-Fold RMSE:,0.0875163452648

5-Fold rsquared:,-0.182918596756,-0.524686682457,-0.0792865640345,-0.127334266977,-0.127334266977
Average 5-Fold rsquared:,-0.232911867782
