topology_std_katz_centrality,transError.mean.mean
0.0387865986683,0.616674277778
0.0530163414747,0.513207166667
0.0358111856313,0.511799
0.0506179618926,0.347489733333
0.0370978935435,0.178033842105
0.0184651276566,0.111519571429
0.0653190067095,0.135674892857
0.0504062668326,0.567853258065
0.0625156345542,0.483538
0.0388418335422,0.364766782609
0.0395175482926,0.266804521739
0.0371844136274,0.136014027027
0.0329104586004,0.1602634
0.0470111349754,0.11330008
0.0490530355055,0.120517266667
0.0680701689278,0.168592444444
0.0500539590932,0.1753349
0.0686054740205,0.250973828571
0.032395127214,0.255138206897
0.0239938583583,0.275744352941
0.047552149884,0.572332
0.0560533106338,0.401876478261
0.0595870605781,0.667381558824
0.0665161870029,0.601016714286
0.0631969735004,0.428635214286
0.0343501102959,0.534300857143
0.0586605327873,0.392818764706
0.0509329526464,0.511895521739
0.0697491703081,0.3828526
0.0415496602463,0.480142294118
0.023963572233,0.200632047619
0.0415899045816,0.214672086957
0.0447742735529,0.310588818182
0.0458339228496,0.63580396
0.0303695030845,0.357241074074
0.049173358584,0.322165133333
0.0440867661807,0.302912058824
0.0346914349788,0.44758759375
0.0441262535518,0.0879599565217
0.0363263127109,0.224303125
0.0327402912611,0.388622
0.0482392301694,0.297397730769
0.0281128168704,0.663971375
0.0343000566012,0.551063954545
0.0447871510946,0.31300125
0.0296030675798,0.4318884
0.0522435943348,0.465919793103
0.0365337137694,0.471419
0.0454501425725,0.317696542857
0.040361653923,0.366169390244
0.0528229880672,0.301987178571
0.0273936875411,0.381142583333
0.0456512079203,0.2053401
0.0578577906099,0.189486166667
0.0395871278775,0.273704222222
0.0352676352131,0.42013416
0.052747219677,0.323464547619
0.0455697766838,0.429869033333
0.0313893001367,0.367336428571
0.0283957294271,0.283932129032
0.0395253805847,0.19405875
0.0426244761908,0.191225219512
0.0375295099882,0.285231925926
0.0310919217409,0.3031
0.0348802179017,0.475740875
0.036060369536,0.236201074074
0.0596202838132,0.54542925
0.0681206797005,0.154262137931
0.0517742245605,0.423788730769
0.0545557900803,0.337108057143
0.0448375412368,0.189719777778
0.0528453814189,0.29107
0.0539921295437,0.17891308
0.0505610093885,0.367190842105

5-Fold RMSE:,0.158597498826,0.163649486188,0.168091828853,0.11651407734,0.11651407734
Average 5-Fold RMSE:,0.150140708454

5-Fold rsquared:,-0.363829291128,0.00571114710661,-0.393273117641,-0.240876703472,-0.240876703472
Average 5-Fold rsquared:,-0.224032989398
