voronoi_nodes,transError.numSamples.mean
256,4854.31818182
246,2208.2
175,533.736842105
60,281.035714286
93,375.75
223,2982.96296296
395,4729.04166667
291,2494.54545455
163,1109.95652174
113,244.540540541
105,830.8
81,180.0
81,450.733333333
115,456.135135135
85,628.1
70,954.971428571
228,914.034482759
289,2059.76470588
278,8438.2173913
156,1611.28571429
431,6025.96969697
244,4245.57692308
201,2369.74358974
337,11003.8461538
140,2018.0
154,8121.34782609
85,2459.1
250,2825.15384615
221,898.038461538
285,845.545454545
283,908.161290323
190,6648.12
530,2004.73076923
427,1650.23076923
301,1444.0
350,4167.25714286
76,160.676470588
215,1054.375
230,1731.48
105,1206.76923077
316,6763.84615385
295,4317.96153846
129,1501.82608696
211,1183.46153846
278,4219.69230769
301,3851.77777778
189,2071.29032258
229,3696.67567568
174,1492.89285714
272,3379.41666667
143,655.766666667
183,619.76
146,1611.27777778
263,3842.36
170,1278.8
250,2906.77777778
159,1697.56410256
191,1119.77419355
172,581.0
166,510.341463415
22,1266.60714286
124,1420.46666667
253,3455.96666667
146,754.666666667
243,2924.18181818
126,407.793103448
229,2267.29166667
281,1168.5
215,609.074074074
462,4291.20833333
194,1209.07692308
246,461.08
222,1971.81578947
640,8361.53846154

5-Fold RMSE:,2267.55328427,1138.36452472,1635.62778338,2399.54977384,2399.54977384
Average 5-Fold RMSE:,1826.63501005

5-Fold rsquared:,0.19815866001,0.747513385924,-0.0365145468174,-0.0834698679685,-0.0834698679685
Average 5-Fold rsquared:,0.214753195288
