voronoi_traversal_rotation,transError.numSamples.std
383.11155342,4496.65449768
299.224987726,1068.57195671
226.003670468,257.853455343
65.6201458925,141.850142792
119.373687987,182.929460449
298.40968252,2244.05747734
531.828197886,3935.77212331
350.187357947,2874.5710625
194.123703961,363.803157271
136.791651053,147.306005198
142.527427016,2626.374729
93.9540558552,108.084781537
112.722731226,1084.0791156
163.845822573,180.818284498
166.514228449,273.731419461
99.3153433059,642.991734482
294.725708146,702.453163625
393.873036041,1510.28589149
463.90477356,14872.7918784
189.655868233,720.79837633
493.115537244,9225.92445392
273.909081263,3023.39259484
291.098597003,2651.41884337
247.053934824,24043.8800652
212.580961906,1616.41335473
255.161221325,8919.29941979
154.379223345,1725.55951023
321.530644611,624.17813537
403.087870914,620.469279434
425.021775933,857.003410118
293.121426335,5103.87888822
593.843879979,1966.19530209
538.679861002,1057.23261059
459.10700613,1483.83345876
473.944548731,3961.17166175
144.966338136,165.786311893
350.705972495,2139.14201672
311.405157352,1428.99660238
166.199693564,968.189122803
453.205692733,5433.37490878
263.788701522,3842.62601996
198.358452797,1817.05743137
282.992600807,691.528513091
384.492596967,8506.08116752
404.099217031,3722.68290681
235.588634426,1936.04140841
229.212945534,4393.41939757
184.662743682,1687.4634671
355.377918967,2072.14962693
171.74666032,383.599850828
224.47594753,786.667567909
167.825668593,1917.94562562
307.207591809,2174.75877982
239.186424328,748.389444073
276.832203798,2608.69783514
226.516662992,1354.24201138
261.569459102,490.102011085
231.322208878,432.474999277
190.252000937,473.088895362
19.7037549351,597.094712473
181.358181073,1136.24840985
329.711625302,3100.93252085
186.04419983,803.781894131
342.429442135,1700.53022844
154.630366434,316.936671506
356.5562977,2065.32399555
344.249370086,1024.40711512
271.307075133,350.849437575
273.749097052,2631.23148885
327.830406313,257.78020405
288.227981357,1433.91482635

5-Fold RMSE:,6558.68185245,2071.88055884,2231.44436332,1949.16557391,1949.16557391
Average 5-Fold RMSE:,2824.19833202

5-Fold rsquared:,0.0441734971922,-0.0184757479034,-0.281213349663,-0.315611753607,-0.315611753607
Average 5-Fold rsquared:,-0.0783890368464
