topology_std_betweenness_centrality,transError.numSamples.mean
0.131812264312,4854.31818182
0.148705407271,2208.2
0.261716653955,533.736842105
0.230672661023,281.035714286
0.27136021012,375.75
0.116264239203,2982.96296296
0.155450271976,4729.04166667
0.20325722398,2494.54545455
0.21845761841,1109.95652174
0.242817084083,244.540540541
0.237876959592,830.8
0.236624366278,180.0
0.20130667256,450.733333333
0.230386364579,456.135135135
0.239940440847,628.1
0.242061459138,954.971428571
0.196231027763,914.034482759
0.471404520791,2059.76470588
0.119075163898,8438.2173913
0.196185373283,1611.28571429
0.148639864971,6025.96969697
0.183840968349,4245.57692308
0.170326124423,2369.74358974
0.16600218961,11003.8461538
0.216662018134,2018.0
0.216313212501,8121.34782609
0.223296878269,2459.1
0.157060934161,2825.15384615
0.19446755538,898.038461538
0.127201781261,845.545454545
0.146143564105,908.161290323
0.19657591917,6648.12
0.0895510295476,2004.73076923
0.147003696536,1650.23076923
0.141627662593,1444.0
0.124061682032,4167.25714286
0.253892063377,160.676470588
0.127870412379,1054.375
0.124401224416,1731.48
0.234536156628,1206.76923077
0.119381307136,6763.84615385
0.220853420272,4317.96153846
0.212474501198,1501.82608696
0.154702887129,1183.46153846
0.16435750178,4219.69230769
0.153122424652,3851.77777778
0.190652239415,2071.29032258
0.219441665803,3696.67567568
0.190940653956,1492.89285714
0.140028695806,3379.41666667
0.208781106226,655.766666667
0.207455882777,619.76
0.217275124316,1611.27777778
0.179934545673,3842.36
0.187756497808,1278.8
0.179116363595,2906.77777778
0.206867780433,1697.56410256
0.203037036446,1119.77419355
0.19173543319,581.0
0.234266083914,510.341463415
0.224004288455,1266.60714286
0.223461677044,1420.46666667
0.170907443183,3455.96666667
0.21043619028,754.666666667
0.154019596736,2924.18181818
0.237450764678,407.793103448
0.15294041887,2267.29166667
0.124375787197,1168.5
0.231525430446,609.074074074
0.145977793591,4291.20833333
0.158996914607,1209.07692308
0.195480049413,461.08
0.177691147017,1971.81578947
0.132183205558,8361.53846154

5-Fold RMSE:,2869.39521546,1872.43259359,1844.34175607,2417.80894455,2417.80894455
Average 5-Fold RMSE:,2119.48161457

5-Fold rsquared:,0.262726393537,-0.0222022346744,0.126995793822,-1.9732860385,-1.9732860385
Average 5-Fold rsquared:,-0.297337496836
