topology_numBifurcationPoints,transError.numSamples.mean
12,4854.31818182
8,2208.2
3,533.736842105
2,281.035714286
1,375.75
14,2982.96296296
4,4729.04166667
5,2494.54545455
5,1109.95652174
3,244.540540541
5,830.8
2,180.0
9,450.733333333
3,456.135135135
4,628.1
1,954.971428571
9,914.034482759
0,2059.76470588
17,8438.2173913
4,1611.28571429
6,6025.96969697
5,4245.57692308
9,2369.74358974
12,11003.8461538
1,2018.0
2,8121.34782609
1,2459.1
8,2825.15384615
12,898.038461538
10,845.545454545
7,908.161290323
3,6648.12
28,2004.73076923
10,1650.23076923
15,1444.0
14,4167.25714286
3,160.676470588
10,1054.375
9,1731.48
3,1206.76923077
15,6763.84615385
5,4317.96153846
5,1501.82608696
22,1183.46153846
3,4219.69230769
13,3851.77777778
5,2071.29032258
3,3696.67567568
3,1492.89285714
12,3379.41666667
3,655.766666667
4,619.76
7,1611.27777778
9,3842.36
4,1278.8
5,2906.77777778
3,1697.56410256
7,1119.77419355
4,581.0
3,510.341463415
3,1266.60714286
5,1420.46666667
7,3455.96666667
4,754.666666667
6,2924.18181818
1,407.793103448
3,2267.29166667
11,1168.5
3,609.074074074
8,4291.20833333
5,1209.07692308
4,461.08
5,1971.81578947
20,8361.53846154

5-Fold RMSE:,2056.19018412,2745.25935883,1089.83059542,2708.76720966,2708.76720966
Average 5-Fold RMSE:,2125.59486542

5-Fold rsquared:,0.184754533848,0.027016387113,-0.0620031467595,-0.278615749557,-0.278615749557
Average 5-Fold rsquared:,-0.00799493903577
