std_eigenvector_centrality,rotError.mean.mean
0.061688422116,0.00804769565217
0.0628848579041,0.00518106666667
0.0735873626594,0.00745268421053
0.122421627337,0.00380332142857
0.100010706049,0.00530514285714
0.0665140899304,0.0113298387097
0.0499869171086,0.0100377916667
0.0583048887054,0.00991973913043
0.0772599538281,0.00654347826087
0.092355006202,0.00574740540541
0.0942375781658,0.0063216
0.107306514034,0.00609472
0.107707055274,0.00695146666667
0.0906409739223,0.00522869444444
0.104297507721,0.00419643333333
0.115439442184,0.00586774285714
0.0650409083878,0.00836370833333
0.0583229555488,0.00957582352941
0.0594842394656,0.0118060833333
0.0788215763143,0.00680830434783
0.0480134270942,0.00944403448276
0.0633224148962,0.0102644642857
0.0695045297866,0.0246713571429
0.0539293297254,0.00765891666667
0.0795172592942,0.00877191176471
0.0794001997108,0.00719391304348
0.103601683322,0.0116620333333
0.0621418524861,0.0221704705882
0.0664741323194,0.00773861904762
0.0586477113224,0.0076692173913
0.0588844988291,0.0124832272727
0.0718074587629,0.0090522
0.0433166383751,0.0147335925926
0.0480981747221,0.0128114
0.0571208297746,0.0131788235294
0.0527148108833,0.0105658125
0.108039224395,0.00586613043478
0.0670363744304,0.01122375
0.064562611159,0.010821
0.095602752891,0.00736969230769
0.0559140808964,0.012007125
0.057696329759,0.00962695454545
0.0863325328339,0.0105803333333
0.0684244190537,0.0089074
0.0595416486538,0.0112168965517
0.0570370754118,0.0137696
0.0701124270704,0.0132841714286
0.0655147896749,0.0079603902439
0.0741480740915,0.0102650357143
0.0598781678858,0.00904714285714
0.0814587853061,0.0111931666667
0.0716576654504,0.0101992222222
0.0817727657324,0.00787177777778
0.0609360751897,0.0083908
0.0756944120562,0.0134036428571
0.0625710750276,0.0111335666667
0.0778171239841,0.00665304761905
0.071506866971,0.0100887741935
0.0754874067928,0.0131854666667
0.0768360610148,0.0108286829268
0.183177866246,0.00526592307692
0.0882860014571,0.0074369
0.0623255741929,0.01176809375
0.0811425974437,0.00650085185185
0.063736397957,0.0117556666667
0.0876523795269,0.00662575862069
0.0655788298353,0.0114198846154
0.0585601819606,0.00877604545455
0.0666331321729,0.00717885185185
0.046391247244,0.00882771428571
0.0702204048489,0.00862746428571
0.0626679442345,0.00584372
0.0665682795308,0.0060295
0.0393741635952,0.0138904166667
