voronoi_edges,transError.std.std
264,0.226872799473
288,0.0888341978949
178,0.0536568207547
61,0.0531756045959
92,0.0388866547706
229,0.156091446153
404,0.204774691356
305,0.189473879231
171,0.0429963941514
112,0.0500640527086
104,0.160692173355
82,0.0364422115207
80,0.115579807708
114,0.0365550743802
85,0.0491585794691
69,0.0890782760547
234,0.0933187599678
297,0.138087316178
285,0.258353516079
159,0.0779121061829
449,0.259494989064
257,0.214149069586
210,0.160472378798
337,0.578481679757
147,0.14193715639
155,0.390698889866
85,0.145785206544
253,0.196101691352
220,0.0540020208264
292,0.0639730578518
287,0.0642383791162
189,0.258741211908
562,0.131888311652
437,0.126072926139
303,0.124697260981
356,0.192108034661
75,0.0517409309399
216,0.150426578073
235,0.141387393986
104,0.0819226964463
320,0.284322556163
321,0.268748777682
128,0.0698040570684
211,0.0777311359681
279,0.221015525555
315,0.170190402896
193,0.10685390071
255,0.237490765274
175,0.110170635227
282,0.172007018126
142,0.0621497895481
190,0.110615023941
146,0.126944549297
265,0.109794391941
170,0.0809823194632
263,0.12386252947
166,0.0966363792344
192,0.064450068138
172,0.0692099506632
166,0.075847820682
24,0.113532147819
123,0.129796983767
253,0.192206970562
145,0.105334107197
246,0.145524364411
125,0.0596299714663
232,0.130217601143
295,0.0974594238893
214,0.0743403423368
469,0.167837658831
195,0.168709916846
248,0.0562958637779
226,0.116143743091
651,0.206076064429

5-Fold RMSE:,0.120607004141,0.0871713246788,0.0641862432345,0.0487803592604,0.0487803592604
Average 5-Fold RMSE:,0.0754963832575

5-Fold rsquared:,0.397964585545,-0.0828091260794,-0.888989606127,0.141628000127,0.141628000127
Average 5-Fold rsquared:,-0.0266913280581
