numRooms,rotError.numSamples.mean
43,4854.31818182
27,2208.2
23,533.736842105
10,281.035714286
12,375.75
48,2982.96296296
47,4729.04166667
25,2494.54545455
22,1109.95652174
15,244.540540541
17,830.8
15,180.0
16,450.733333333
16,456.135135135
16,628.1
16,954.971428571
25,914.034482759
34,2059.76470588
50,8438.2173913
22,1611.28571429
45,6025.96969697
26,4245.57692308
29,2369.74358974
34,11003.8461538
20,2018.0
22,8121.34782609
20,2459.1
31,2825.15384615
39,898.038461538
38,845.545454545
35,908.161290323
25,6648.12
65,2004.73076923
46,1650.23076923
49,1444.0
52,4167.25714286
13,160.676470588
40,1054.375
33,1731.48
17,1206.76923077
42,6763.84615385
23,4317.96153846
21,1501.82608696
46,1183.46153846
35,4219.69230769
40,3851.77777778
27,2071.29032258
19,3696.67567568
17,1492.89285714
27,3379.41666667
21,655.766666667
20,619.76
23,1611.27777778
39,3842.36
24,1278.8
25,2906.77777778
20,1697.56410256
30,1119.77419355
23,581.0
16,510.341463415
19,1266.60714286
17,1420.46666667
35,3455.96666667
21,754.666666667
30,2924.18181818
16,407.793103448
37,2267.29166667
36,1168.5
16,609.074074074
44,4291.20833333
24,1209.07692308
19,461.08
31,1971.81578947
79,8361.53846154

5-Fold RMSE:,1787.42230073,1758.22078525,2630.08623216,1125.11233288,1125.11233288
Average 5-Fold RMSE:,1928.19817767

5-Fold rsquared:,0.142302621425,0.198400551637,0.416453664518,0.451530576067,0.451530576067
Average 5-Fold rsquared:,0.182206505762
