entropy,transError.numSamples.mean
0.3221447186,4854.31818182
0.470907976972,2208.2
0.523778963834,533.736842105
0.395497312924,281.035714286
0.328353771228,375.75
0.29333028783,2982.96296296
0.370370404356,4729.04166667
0.274988878465,2494.54545455
0.206876229631,1109.95652174
0.538030318706,244.540540541
0.295756027505,830.8
0.380368228615,180.0
0.382280806687,450.733333333
0.479363399065,456.135135135
0.348905806613,628.1
0.333070872241,954.971428571
0.254912011889,914.034482759
0.55908348168,2059.76470588
0.308572760262,8438.2173913
0.318539406313,1611.28571429
0.277888866018,6025.96969697
0.284676724208,4245.57692308
0.297507395277,2369.74358974
0.204850511929,11003.8461538
0.234452734746,2018.0
0.306951959387,8121.34782609
0.335083355922,2459.1
0.446540182952,2825.15384615
0.505791691597,898.038461538
0.510763420494,845.545454545
0.329875981726,908.161290323
0.39131588904,6648.12
0.756474176243,2004.73076923
0.636473091808,1650.23076923
0.607846472941,1444.0
0.568528908897,4167.25714286
0.558090194533,160.676470588
0.398900389202,1054.375
0.51387932211,1731.48
0.393196937981,1206.76923077
0.484828329434,6763.84615385
0.37395692585,4317.96153846
0.410231936509,1501.82608696
0.326105044278,1183.46153846
0.521749511142,4219.69230769
0.405325651205,3851.77777778
0.333393618806,2071.29032258
0.437642046974,3696.67567568
0.329219680936,1492.89285714
0.255193614573,3379.41666667
0.291600149817,655.766666667
0.360445393349,619.76
0.50107086266,1611.27777778
0.527835552252,3842.36
0.380530385989,1278.8
0.529081411403,2906.77777778
0.450537965723,1697.56410256
0.442437535411,1119.77419355
0.423383015861,581.0
0.454458774711,510.341463415
0.433576786625,1266.60714286
0.488364877974,1420.46666667
0.554227610854,3455.96666667
0.438986776868,754.666666667
0.472547868952,2924.18181818
0.464185790183,407.793103448
0.557906180205,2267.29166667
0.63559816881,1168.5
0.482066878387,609.074074074
0.568207500774,4291.20833333
0.452134192471,1209.07692308
0.553248122712,461.08
0.313819750698,1971.81578947
0.687950739326,8361.53846154

5-Fold RMSE:,3228.51247708,2782.31744291,1781.17241095,1765.21512458,1765.21512458
Average 5-Fold RMSE:,2185.78852689

5-Fold rsquared:,-0.00555068366784,-0.0230119551659,-0.367005181102,-0.0964334804692,-0.0964334804692
Average 5-Fold rsquared:,-0.0929599847616
