voronoi_std_betweenness_centrality,rotError.mean.mean
0.064127687584,0.0160152777778
0.078906434805,0.0361834583333
0.0746543812721,0.0081227826087
0.062851196191,0.00518106666667
0.120555286217,0.00745268421053
0.134588707592,0.00380332142857
0.157081183686,0.00530514285714
0.0702608079073,0.0113298387097
0.0724914959019,0.0100377916667
0.115339067677,0.00991973913043
0.140816589884,0.00654347826087
0.16805134529,0.00574740540541
0.169705907227,0.0063216
0.148425240047,0.00609472
0.160579833031,0.00695146666667
0.154942199063,0.00522869444444
0.119327588971,0.00419643333333
0.175548202855,0.00586774285714
0.127445753524,0.0080334137931
0.0828370625069,0.00957582352941
0.0894050902149,0.0118060833333
0.0939366873161,0.00680830434783
0.0913729694687,0.0128010294118
0.0739055320019,0.0102644642857
0.076293463043,0.0246713571429
0.0958990178296,0.007418
0.0830023467368,0.00877191176471
0.138718645002,0.00719391304348
0.117196701992,0.0116620333333
0.108306665569,0.0221704705882
0.141828214583,0.00773861904762
0.0756330969252,0.0076692173913
0.0762021693546,0.0124832272727
0.140770979315,0.0090522
0.0511046648544,0.0147335925926
0.0862567077224,0.0128114
0.0952789524029,0.0131788235294
0.0836735301728,0.0105658125
0.154109156244,0.00586613043478
0.0946700876743,0.0116517083333
0.0848366529613,0.010821
0.151920860392,0.00736969230769
0.0770398687958,0.012007125
0.134288831834,0.00962695454545
0.157379029906,0.0105803333333
0.127519968793,0.0089074
0.0867796134283,0.0112168965517
0.0850149322524,0.0137696
0.1103334443,0.0132841714286
0.114004545879,0.0079603902439
0.0990072824493,0.0102650357143
0.0829289381716,0.0086655
0.141626997478,0.0111931666667
0.0926301375778,0.00875566666667
0.147842301865,0.00787177777778
0.116817550364,0.0083908
0.103636622274,0.0134036428571
0.0778880925589,0.0111335666667
0.128144102526,0.00665304761905
0.151022466631,0.0100887741935
0.121528219661,0.0114415
0.115413024622,0.0108286829268
0.126020319963,0.00525488888889
0.15578903341,0.0074369
0.123818508682,0.01176809375
0.138059180639,0.00650085185185
0.082138035642,0.0117556666667
0.125731603212,0.00662575862069
0.0855568473939,0.0114198846154
0.0623751617214,0.00779974285714
0.121268856559,0.00717885185185
0.0872310046751,0.00862746428571
0.087537102921,0.00584372
0.113038517998,0.0060295

5-Fold RMSE:,0.00698662058496,0.00502111175995,0.00276582211561,0.00407261024655,0.00407261024655
Average 5-Fold RMSE:,0.0041766722895

5-Fold rsquared:,0.262753944281,0.290158637771,0.37542858417,-0.0508858400967,-0.0508858400967
Average 5-Fold rsquared:,0.194650668375
