voronoi_numTerminalPoints,rotError.numSamples.std
117,4496.65449768
82,1068.57195671
82,257.853455343
31,141.850142792
48,182.929460449
92,2244.05747734
189,3935.77212331
136,2874.5710625
76,363.803157271
59,147.306005198
57,2626.374729
39,108.084781537
42,1084.0791156
60,180.818284498
41,273.731419461
36,642.991734482
108,702.453163625
135,1510.28589149
107,14872.7918784
63,720.79837633
168,9225.92445392
85,3023.39259484
95,2651.41884337
154,24043.8800652
70,1616.41335473
65,8919.29941979
43,1725.55951023
119,1863.36560045
110,624.17813537
137,620.469279434
138,857.003410118
97,5103.87888822
224,1966.19530209
204,1057.23261059
145,1483.83345876
171,3961.17166175
40,165.786311893
108,2139.14201672
112,1428.99660238
54,968.189122803
153,5433.37490878
117,3842.62601996
66,1817.05743137
105,691.528513091
137,8506.08116752
131,3722.68290681
93,1936.04140841
85,4393.41939757
87,1687.4634671
125,2072.14962693
72,383.599850828
88,786.667567909
74,1917.94562562
125,2174.75877982
87,748.389444073
112,2608.69783514
68,1354.24201138
95,490.102011085
87,432.474999277
85,473.088895362
9,597.094712473
62,1136.24840985
125,3100.93252085
72,803.781894131
118,1700.53022844
64,316.936671506
108,2065.32399555
126,1024.40711512
111,350.849437575
220,3504.51641908
94,2631.23148885
118,257.78020405
106,1433.91482635
309,4268.01882728

5-Fold RMSE:,3288.76970606,3745.59936421,5833.14004109,1131.77599165,1131.77599165
Average 5-Fold RMSE:,3059.91741974

5-Fold rsquared:,0.176299435261,-0.101222592617,0.14480832539,-6.04687731183,-6.04687731183
Average 5-Fold rsquared:,-1.14595354948
