roomPerimeter,rotError.numSamples.mean
1588.62791478,4854.31818182
1351.09384402,2208.2
458.622966465,533.736842105
125.926169628,281.035714286
302.601396954,375.75
501.062394277,2982.96296296
1837.42341771,4729.04166667
688.861804167,2494.54545455
662.793955846,1109.95652174
345.129490021,244.540540541
456.293929549,830.8
315.925559425,180.0
243.357074819,450.733333333
409.663330218,456.135135135
203.831915727,628.1
608.510749633,954.971428571
811.724322072,914.034482759
789.405453777,2059.76470588
498.214112703,8438.2173913
349.485622363,1611.28571429
623.087494685,6025.96969697
506.227250231,4245.57692308
469.640967896,2369.74358974
470.629120514,11003.8461538
343.406315926,2018.0
349.626511091,8121.34782609
503.178792264,2459.1
824.277775057,2825.15384615
481.48305766,898.038461538
859.077312371,845.545454545
1023.76949412,908.161290323
1483.77049838,6648.12
1208.95867135,2004.73076923
1173.67459887,1650.23076923
537.162909983,1444.0
845.005713505,4167.25714286
279.62861162,160.676470588
780.915742482,1054.375
909.128599512,1731.48
623.395444333,1206.76923077
787.160481335,6763.84615385
551.960813093,4317.96153846
655.096395443,1501.82608696
1086.4876646,1183.46153846
1357.05101607,4219.69230769
1113.23214774,3851.77777778
636.640571297,2071.29032258
883.283838598,3696.67567568
638.505269241,1492.89285714
1290.51989442,3379.41666667
474.810346145,655.766666667
502.295701425,619.76
687.882051882,1611.27777778
1293.11063322,3842.36
602.61103687,1278.8
864.15979835,2906.77777778
846.661098224,1697.56410256
687.49670878,1119.77419355
454.8062828,581.0
406.40042891,510.341463415
865.683726415,1266.60714286
580.17017166,1420.46666667
551.429068269,3455.96666667
620.854347876,754.666666667
651.012500721,2924.18181818
367.406975129,407.793103448
1075.51367261,2267.29166667
533.159488544,1168.5
377.956377889,609.074074074
747.238694267,4291.20833333
900.193877884,1209.07692308
496.333168951,461.08
1394.54206022,1971.81578947
837.315270419,8361.53846154

5-Fold RMSE:,1387.04604395,3424.81850432,1389.20949542,2009.81938422,2009.81938422
Average 5-Fold RMSE:,2057.13272205

5-Fold rsquared:,-0.0218951763062,0.243266618652,0.10103228818,-0.0130596153822,-0.0130596153822
Average 5-Fold rsquared:,0.0759637483869
