topology_avg_closeness_centrality,transError.numSamples.mean
0.284488279077,4854.31818182
0.370535696424,2208.2
0.358863475026,533.736842105
0.350465651995,281.035714286
0.567857142857,375.75
0.350927942074,2982.96296296
0.427792565408,4729.04166667
0.312405095581,2494.54545455
0.329418318811,1109.95652174
0.36624766393,244.540540541
0.325865200622,830.8
0.394037999891,180.0
0.417940572526,450.733333333
0.556821291735,456.135135135
0.464896387222,628.1
0.547413793103,954.971428571
0.273047839118,914.034482759
0.777777777778,2059.76470588
0.341150943476,8438.2173913
0.4281060583,1611.28571429
0.42200643551,6025.96969697
0.488065475429,4245.57692308
0.461444444904,2369.74358974
0.31302022507,11003.8461538
0.458570826992,2018.0
0.41996024624,8121.34782609
0.53984962406,2459.1
0.321027376431,2825.15384615
0.189915402114,898.038461538
0.324047864311,845.545454545
0.33979368597,908.161290323
0.352171322103,6648.12
0.259287867843,2004.73076923
0.320506146099,1650.23076923
0.275527456151,1444.0
0.277062827077,4167.25714286
0.4379649762,160.676470588
0.281287246979,1054.375
0.307063318781,1731.48
0.415539839586,1206.76923077
0.261732493222,6763.84615385
0.302416892695,4317.96153846
0.384808883271,1501.82608696
0.219125448248,1183.46153846
0.401346505261,4219.69230769
0.278481518716,3851.77777778
0.315127997702,2071.29032258
0.3736125688,3696.67567568
0.452601597772,1492.89285714
0.278791459505,3379.41666667
0.391192719863,655.766666667
0.439189149067,619.76
0.297418731391,1611.27777778
0.261752702654,3842.36
0.408935571873,1278.8
0.345619064651,2906.77777778
0.320985703109,1697.56410256
0.236469882369,1119.77419355
0.351668103559,581.0
0.40030941228,510.341463415
0.348572411089,1266.60714286
0.338184595993,1420.46666667
0.297037369872,3455.96666667
0.343097345261,754.666666667
0.424645653444,2924.18181818
0.552032019704,407.793103448
0.361359086553,2267.29166667
0.387862468291,1168.5
0.406535603422,609.074074074
0.370196021598,4291.20833333
0.401704629629,1209.07692308
0.440632856899,461.08
0.394681310097,1971.81578947
0.327739729602,8361.53846154

5-Fold RMSE:,2193.99180369,2081.07054547,3064.3851029,1625.61171994,1625.61171994
Average 5-Fold RMSE:,2206.52186887

5-Fold rsquared:,-0.844625883104,-0.532442339457,0.0473934838553,-0.027991185309,-0.027991185309
Average 5-Fold rsquared:,-0.305765249315
