topology_nodes,rotError.mean.std
41,0.00314194787486
25,0.000529720236435
13,0.00274200687267
10,0.000868010041646
12,0.000988470995105
47,0.00396421114784
38,0.00305267434636
24,0.00323725683059
19,0.00162224709611
15,0.00122251686463
17,0.00481593435646
15,0.00139556645188
16,0.00295561424787
16,0.000970277349218
15,0.00087903722649
16,0.00234359606884
25,0.00196300121238
3,0.00475371639426
47,0.00347532974758
19,0.00196074084985
43,0.00290945535533
26,0.0031687609811
29,0.00691864528074
34,0.00176297243951
19,0.00288446249643
20,0.00193137045088
19,0.00350567334933
30,0.0101955133655
37,0.00189316660463
37,0.00409306542765
35,0.0021898122043
25,0.00268365863701
63,0.00416085194839
46,0.00454871802084
48,0.00641385431356
52,0.00357712486121
13,0.00149199568169
40,0.00373159733983
32,0.00227211409784
17,0.00284573492967
42,0.00416717640221
23,0.00429998156474
21,0.00262143524665
46,0.0015716058183
30,0.00295077555546
40,0.00347412036809
27,0.00393376291854
19,0.00199420279203
16,0.00317220657184
27,0.00212895982035
21,0.00283126115696
20,0.00452986510634
23,0.00169591170353
38,0.00167382816322
24,0.00380101619562
25,0.00567736820441
20,0.00200585427637
30,0.00290650421563
22,0.00604227499064
16,0.00633767378436
19,0.00090005519672
17,0.00296056940863
35,0.00379557550738
21,0.0018376947053
30,0.00342684333818
16,0.0018378217927
37,0.0038392713065
35,0.00265952798602
16,0.00290145318257
42,0.127889138475
24,0.00273066403156
19,0.00140772643706
30,0.00163527502515
35,0.00529794026363

5-Fold RMSE:,0.00395301788099,0.0321613643609,0.00564291162487,0.00258704587862,0.00258704587862
Average 5-Fold RMSE:,0.00960607123994

5-Fold rsquared:,-2.2407671818,-0.857498580157,-0.0532704775415,-11.1745492646,-11.1745492646
Average 5-Fold rsquared:,-5.15306340764
