topology_edges,rotError.std.std
48,0.00570813314798
32,0.00238204213415
13,0.00443794731193
10,0.00221181244909
12,0.00124875791759
63,0.00692890029398
43,0.00526352379524
26,0.00916339305052
23,0.00109827381314
14,0.001820392131
16,0.0115835540733
15,0.00242628577179
22,0.00881799279479
19,0.00156947572306
18,0.00133593491358
15,0.0033034977955
30,0.00427790386373
2,0.010818340273
67,0.0073614093577
21,0.0020421627691
49,0.00882900353326
32,0.0056069691509
41,0.00964521917124
37,0.0102373131119
18,0.00694223066048
19,0.00719629727175
18,0.00729724936466
36,0.00941862106525
42,0.00165015637774
46,0.00327309840264
39,0.00344135860057
24,0.00431503222254
90,0.00820748297377
57,0.038374045582
57,0.00800000789555
63,0.00653686665775
13,0.0030003076901
47,0.00533292057631
35,0.00671912860422
16,0.00480609803905
51,0.00899802736477
23,0.00879950207474
23,0.0034406223505
59,0.00161564506
30,0.00646094092521
50,0.00512121237682
29,0.00772600753931
19,0.00810460207062
18,0.00596216482169
32,0.00468461053166
20,0.00290363576381
21,0.00727200671353
26,0.00593740494427
43,0.0031691424541
25,0.00360718859354
26,0.00760278416857
20,0.00281495176744
31,0.00295568783369
22,0.00587875703598
15,0.00492444947089
18,0.00274550707465
16,0.00668196581096
37,0.00693703706243
20,0.00651974844058
35,0.0105001485137
17,0.00348419817228
39,0.00672065780498
46,0.00427584456832
17,0.0034764729288
48,0.218382402573
27,0.0062202472559
21,0.00201918335413
35,0.00303309851547
54,0.00630615992045

5-Fold RMSE:,0.00529033505589,0.00721940967343,0.00723774692322,0.00611684771323,0.00611684771323
Average 5-Fold RMSE:,0.0164490762481

5-Fold rsquared:,-4.02846142618,-0.0453600361009,-6.65882758596,0.0854961851265,0.0854961851265
Average 5-Fold rsquared:,-2.96572375893
