topology_numBifurcationPoints,rotError.mean.mean
20,0.0160152777778
8,0.0361834583333
12,0.0081227826087
8,0.00518106666667
3,0.00745268421053
2,0.00380332142857
1,0.00530514285714
14,0.0113298387097
4,0.0100377916667
5,0.00991973913043
5,0.00654347826087
3,0.00574740540541
5,0.0063216
2,0.00609472
9,0.00695146666667
3,0.00522869444444
4,0.00419643333333
1,0.00586774285714
9,0.0080334137931
0,0.00957582352941
17,0.0118060833333
4,0.00680830434783
6,0.0128010294118
5,0.0102644642857
9,0.0246713571429
12,0.007418
1,0.00877191176471
2,0.00719391304348
1,0.0116620333333
8,0.0221704705882
12,0.00773861904762
10,0.0076692173913
7,0.0124832272727
3,0.0090522
28,0.0147335925926
10,0.0128114
15,0.0131788235294
14,0.0105658125
3,0.00586613043478
10,0.0116517083333
9,0.010821
3,0.00736969230769
15,0.012007125
5,0.00962695454545
5,0.0105803333333
22,0.0089074
3,0.0112168965517
13,0.0137696
5,0.0132841714286
3,0.0079603902439
3,0.0102650357143
12,0.0086655
3,0.0111931666667
4,0.00875566666667
7,0.00787177777778
9,0.0083908
4,0.0134036428571
5,0.0111335666667
3,0.00665304761905
7,0.0100887741935
4,0.0114415
3,0.0108286829268
3,0.00525488888889
5,0.0074369
7,0.01176809375
4,0.00650085185185
6,0.0117556666667
1,0.00662575862069
3,0.0114198846154
11,0.00779974285714
3,0.00717885185185
5,0.00862746428571
4,0.00584372
5,0.0060295

5-Fold RMSE:,0.0033928545201,0.00253076940649,0.00726364746651,0.00431578626294,0.00431578626294
Average 5-Fold RMSE:,0.0042884822662

5-Fold rsquared:,0.0449742799428,-0.0211911051174,0.287208511563,0.115131098418,0.115131098418
Average 5-Fold rsquared:,0.105614242606
