std_katz_centrality,transError.mean.std
0.0624731549568,0.145382176939
0.063752172964,0.0626106276575
0.0754900972952,0.0363222141704
0.129091206881,0.0240230927776
0.102657659336,0.0231752964896
0.0661008951017,0.244942705536
0.0502704418861,0.118403445404
0.0586127538334,0.25684750383
0.0780340421936,0.0468835943002
0.0939892490074,0.0525575836354
0.0975397092036,0.0652650350355
0.111014569034,0.0380406378831
0.110099823171,0.048698079138
0.0929712298051,0.0471928668924
0.108205660452,0.015699391456
0.119112086547,0.0795487657361
0.0659829233406,0.0564341131084
0.0585913436971,0.0634488000674
0.0598248730876,0.157331633444
0.0772516261558,0.225853461955
0.048109504833,0.120880204555
0.0637167667236,0.192289958812
0.0692008974402,0.0925116985357
0.0544424123813,0.182870156349
0.0841168072726,0.150862439925
0.0797494568412,0.113382526137
0.106868056324,0.0940625752148
0.0631905584655,0.228409668405
0.0669254864612,0.0484971177734
0.059006633997,0.0700468458533
0.0592550204987,0.287812908678
0.0714572904211,0.109859637786
0.0434370069683,0.30823195051
0.0483911660079,0.251954545215
0.0575331907477,0.158847840005
0.0534243204259,0.112238353718
0.114707065441,0.0402882774962
0.0680103608451,0.0467955533351
0.0658075265519,0.1264444763
0.0968684562829,0.0703616797672
0.0561712509096,0.114763250904
0.0581987476898,0.0896356459078
0.0879679595136,0.185040710074
0.0683610410463,0.14370205831
0.0597913687418,0.281651273406
0.0575400519371,0.217198105027
0.0725973866224,0.0868164172079
0.0657233059386,0.121972989288
0.0755615846501,0.0844506183324
0.060574938632,0.112880779061
0.0835822171484,0.0478290808047
0.0738591884147,0.0419657032537
0.0824780523605,0.063039235743
0.0616037184567,0.0862053699096
0.0755455798348,0.123650418782
0.062966882775,0.166220167829
0.0788806200449,0.205108169667
0.0722201300189,0.067525357097
0.0761861508636,0.0423677614464
0.0773264365088,0.0754858045801
0.204263905889,0.0677220225742
0.0891668487181,0.06593977187
0.0628086114111,0.17018166168
0.0823513570222,0.060063217006
0.0641495247308,0.14039673261
0.089069884571,0.0600886637503
0.066034753817,0.141798879212
0.0594085046862,0.313625308616
0.0680457197775,0.0554747715395
0.0464069089952,0.114621750347
0.0713808637398,0.22720282762
0.0637154343161,0.0490437767207
0.0671155361255,0.0852449136299
0.0394800592855,0.138300771799
