topology_radius,rotError.std.mean
4,0.0196438888889
3,0.0581752916667
4,0.0138309130435
3,0.00848306666667
3,0.00990715789474
3,0.00666489285714
1,0.00854714285714
3,0.0155064516129
3,0.0139629166667
4,0.0146126956522
3,0.00927660869565
3,0.00886394594595
3,0.0103236571429
3,0.00831244
3,0.0120980666667
1,0.00897186111111
2,0.0070672
1,0.00862697142857
4,0.0107663448276
1,0.0146358235294
3,0.0165645
2,0.00871552173913
3,0.0233207058824
2,0.0177865357143
2,0.0435829285714
3,0.0173028571429
2,0.0134678235294
2,0.0117434782609
1,0.0171069
4,0.0210941176471
7,0.00869485714286
4,0.00991634782609
3,0.0162976363636
4,0.01273672
5,0.0216128148148
4,0.0267318666667
4,0.014787
4,0.01558596875
2,0.00887017391304
4,0.0136369583333
4,0.0158112592593
2,0.0110901538462
5,0.016004875
3,0.0116140454545
3,0.0131456666667
6,0.012016
2,0.0138605172414
4,0.0208444333333
4,0.0209096857143
2,0.0136826097561
2,0.0140931785714
4,0.013008
2,0.0124418666667
3,0.0115595416667
3,0.0113095
4,0.01085984
3,0.0133554761905
4,0.0143581333333
3,0.00947095238095
5,0.0113865483871
3,0.01360234375
2,0.0114615121951
3,0.00808462962963
3,0.0116139666667
4,0.01513984375
3,0.0103575555556
2,0.0177405833333
1,0.0105403103448
3,0.0159079615385
3,0.0109016571429
3,0.00975977777778
3,0.0112861428571
3,0.00749868
3,0.00801097368421

5-Fold RMSE:,0.00401688360813,0.00394024303797,0.0149341241635,0.00512251270945,0.00512251270945
Average 5-Fold RMSE:,0.00629640956037

5-Fold rsquared:,-0.00946467146091,-0.0503658522578,-0.195189454227,-0.0867327645805,-0.0867327645805
Average 5-Fold rsquared:,-0.0763057789391
