voronoi_edges,transError.std.mean
264,0.597974409091
288,0.3833542
178,0.198447578947
61,0.12269
92,0.153758035714
229,0.443964518519
404,0.531760416667
305,0.402073772727
171,0.30601326087
112,0.133319189189
104,0.194677542857
82,0.11035772
80,0.139761666667
114,0.178360027027
85,0.2198439
69,0.243437428571
234,0.256086724138
297,0.338521882353
285,0.583932391304
159,0.325802619048
449,0.59423269697
257,0.577431384615
210,0.38375874359
337,0.698436384615
147,0.3659623
155,0.690604043478
85,0.404276533333
253,0.441453846154
220,0.237735884615
292,0.225124575758
287,0.256219483871
189,0.65674012
562,0.358577384615
437,0.362996384615
303,0.287370933333
356,0.50726
75,0.0964399411765
216,0.236416833333
235,0.35981112
104,0.273577115385
320,0.702296269231
321,0.558222807692
128,0.282527217391
211,0.292004974359
279,0.441571769231
315,0.501131740741
193,0.346335935484
255,0.466183297297
175,0.309707785714
282,0.503770083333
142,0.218116833333
190,0.1932868
146,0.310407555556
265,0.50208644
170,0.29558275
263,0.442420407407
166,0.337067487179
192,0.286365322581
172,0.19540578125
166,0.171382926829
24,0.327402357143
123,0.287927933333
253,0.466749133333
145,0.224714148148
246,0.483949818182
125,0.153626448276
232,0.380862583333
295,0.2900733125
214,0.203370592593
469,0.522405666667
195,0.237020576923
248,0.17280424
226,0.366907921053
651,0.789124346154

5-Fold RMSE:,0.154374163386,0.0933183993473,0.113959858031,0.160623643961,0.160623643961
Average 5-Fold RMSE:,0.129950668985

5-Fold rsquared:,0.469638453787,0.352247715071,-0.0344184207331,0.213059998966,0.213059998966
Average 5-Fold rsquared:,0.25880280528
