topology_avg_betweenness_centrality,rotError.mean.std
0.0651387827858,0.0051668558009
0.0450348432056,0.127889138475
0.0677298311445,0.00340156190411
0.0785507246377,0.000529720236435
0.171328671329,0.00274200687267
0.244444444444,0.000868010041646
0.0818181818182,0.000988470995105
0.0430054476308,0.00429956664055
0.0396317370002,0.00305267434636
0.106554677207,0.00325076749757
0.12693498452,0.00162224709611
0.141391941392,0.00122251686463
0.145098039216,0.00481593435646
0.128937728938,0.00139556645188
0.107142857143,0.00295561424787
0.060119047619,0.00086073843683
0.0930402930403,0.00087903722649
0.0625,0.00234359606884
0.123188405797,0.00196300121238
0.333333333333,0.00475371639426
0.0447939150992,0.00397965134483
0.0835913312693,0.00194485015484
0.0346271236799,0.011229552043
0.0462820512821,0.00728678377751
0.0456121145776,0.0240067761271
0.0721368092692,0.00587163384417
0.0746474028208,0.00364257671701
0.0809941520468,0.00193137045088
0.0526315789474,0.00350567334933
0.0803776683087,0.011540864302
0.127799227799,0.00169851493892
0.0618618618619,0.00387832424544
0.0622358034123,0.018982936371
0.0855072463768,0.00268365863701
0.0483073539657,0.00951347370549
0.0512077294686,0.0113683540574
0.0603415047795,0.0102189055546
0.0541025641026,0.00279617073466
0.124708624709,0.00119649202124
0.0702091767881,0.00373159733983
0.0786962365591,0.00435481252733
0.0990196078431,0.00284573492967
0.0726480836237,0.00405173873492
0.11405985319,0.00258198449888
0.0884711779449,0.00935193660277
0.0858805445762,0.00120964368307
0.0555829228243,0.00544625576124
0.071322537112,0.0122018643728
0.0939031339031,0.00687929093309
0.103887168903,0.00319700990545
0.0916666666667,0.00317220657184
0.109401709402,0.00212895982035
0.0867167919799,0.00283126115696
0.0763157894737,0.00479663990611
0.116318464145,0.00169591170353
0.0813181602655,0.00167382816322
0.0693346508564,0.00464877681209
0.0886956521739,0.00631663664558
0.125438596491,0.00267358431567
0.121100164204,0.00290650421563
0.0974025974026,0.00604227499064
0.11369047619,0.00633767378436
0.115927072583,0.000897543822652
0.138235294118,0.00296056940863
0.0755793226381,0.00514108200771
0.10626566416,0.0018376947053
0.0506568144499,0.00559589829449
0.0613095238095,0.0018378217927
0.052380952381,0.00470429841354
0.0501145912911,0.00584007398849
0.110714285714,0.00290145318257
0.0716403162055,0.0102512932546
0.0791193670451,0.00140772643706
0.0574712643678,0.00163527502515

5-Fold RMSE:,0.0081462935975,0.00398158728847,0.00482761022747,0.0321424234842,0.0321424234842
Average 5-Fold RMSE:,0.0107231619916

5-Fold rsquared:,0.207007561413,-0.973821751326,-0.0568392579006,-1.21664450678,-1.21664450678
Average 5-Fold rsquared:,-2.60415593262
