voronoi_std_katz_centrality,rotError.numSamples.std
0.0624731549568,4496.65449768
0.063752172964,1068.57195671
0.0754900972952,257.853455343
0.129091206881,141.850142792
0.102657659336,182.929460449
0.0661008951017,2244.05747734
0.0502704418861,3935.77212331
0.0586127538334,2874.5710625
0.0780340421936,363.803157271
0.0939892490074,147.306005198
0.0975397092036,2626.374729
0.111014569034,108.084781537
0.110099823171,1084.0791156
0.0929712298051,180.818284498
0.108205660452,273.731419461
0.119112086547,642.991734482
0.0659829233406,702.453163625
0.0585913436971,1510.28589149
0.0598248730876,14872.7918784
0.0772516261558,720.79837633
0.048109504833,9225.92445392
0.0637167667236,3023.39259484
0.0692008974402,2651.41884337
0.0544424123813,24043.8800652
0.0841168072726,1616.41335473
0.0797494568412,8919.29941979
0.106868056324,1725.55951023
0.0631905584655,1863.36560045
0.0669254864612,624.17813537
0.059006633997,620.469279434
0.0592550204987,857.003410118
0.0714572904211,5103.87888822
0.0434370069683,1966.19530209
0.0483911660079,1057.23261059
0.0575331907477,1483.83345876
0.0534243204259,3961.17166175
0.114707065441,165.786311893
0.0680103608451,2139.14201672
0.0658075265519,1428.99660238
0.0968684562829,968.189122803
0.0561712509096,5433.37490878
0.0581987476898,3842.62601996
0.0879679595136,1817.05743137
0.0683610410463,691.528513091
0.0597913687418,8506.08116752
0.0575400519371,3722.68290681
0.0725973866224,1936.04140841
0.0657233059386,4393.41939757
0.0755615846501,1687.4634671
0.060574938632,2072.14962693
0.0835822171484,383.599850828
0.0738591884147,786.667567909
0.0824780523605,1917.94562562
0.0616037184567,2174.75877982
0.0755455798348,748.389444073
0.062966882775,2608.69783514
0.0788806200449,1354.24201138
0.0722201300189,490.102011085
0.0761861508636,432.474999277
0.0773264365088,473.088895362
0.204263905889,597.094712473
0.0891668487181,1136.24840985
0.0628086114111,3100.93252085
0.0823513570222,803.781894131
0.0641495247308,1700.53022844
0.089069884571,316.936671506
0.066034753817,2065.32399555
0.0594085046862,1024.40711512
0.0680457197775,350.849437575
0.0464069089952,3504.51641908
0.0713808637398,2631.23148885
0.0637154343161,257.78020405
0.0671155361255,1433.91482635
0.0394800592855,4268.01882728

5-Fold RMSE:,2139.91468847,1705.92911316,5554.87733049,3595.14382209,3595.14382209
Average 5-Fold RMSE:,3298.60126384

5-Fold rsquared:,0.143385367767,-0.496743407623,0.115800979298,-1.07463080133,-1.07463080133
Average 5-Fold rsquared:,-0.262633201071
