voronoi_std_katz_centrality,transError.std.std
0.0624731549568,0.226872799473
0.063752172964,0.0888341978949
0.0754900972952,0.0536568207547
0.129091206881,0.0531756045959
0.102657659336,0.0388866547706
0.0661008951017,0.156091446153
0.0502704418861,0.204774691356
0.0586127538334,0.189473879231
0.0780340421936,0.0429963941514
0.0939892490074,0.0500640527086
0.0975397092036,0.160692173355
0.111014569034,0.0364422115207
0.110099823171,0.115579807708
0.0929712298051,0.0365550743802
0.108205660452,0.0491585794691
0.119112086547,0.0890782760547
0.0659829233406,0.0933187599678
0.0585913436971,0.138087316178
0.0598248730876,0.258353516079
0.0772516261558,0.0779121061829
0.048109504833,0.259494989064
0.0637167667236,0.214149069586
0.0692008974402,0.160472378798
0.0544424123813,0.578481679757
0.0841168072726,0.14193715639
0.0797494568412,0.390698889866
0.106868056324,0.145785206544
0.0631905584655,0.196101691352
0.0669254864612,0.0540020208264
0.059006633997,0.0639730578518
0.0592550204987,0.0642383791162
0.0714572904211,0.258741211908
0.0434370069683,0.131888311652
0.0483911660079,0.126072926139
0.0575331907477,0.124697260981
0.0534243204259,0.192108034661
0.114707065441,0.0517409309399
0.0680103608451,0.150426578073
0.0658075265519,0.141387393986
0.0968684562829,0.0819226964463
0.0561712509096,0.284322556163
0.0581987476898,0.268748777682
0.0879679595136,0.0698040570684
0.0683610410463,0.0777311359681
0.0597913687418,0.221015525555
0.0575400519371,0.170190402896
0.0725973866224,0.10685390071
0.0657233059386,0.237490765274
0.0755615846501,0.110170635227
0.060574938632,0.172007018126
0.0835822171484,0.0621497895481
0.0738591884147,0.110615023941
0.0824780523605,0.126944549297
0.0616037184567,0.109794391941
0.0755455798348,0.0809823194632
0.062966882775,0.12386252947
0.0788806200449,0.0966363792344
0.0722201300189,0.064450068138
0.0761861508636,0.0692099506632
0.0773264365088,0.075847820682
0.204263905889,0.113532147819
0.0891668487181,0.129796983767
0.0628086114111,0.192206970562
0.0823513570222,0.105334107197
0.0641495247308,0.145524364411
0.089069884571,0.0596299714663
0.066034753817,0.130217601143
0.0594085046862,0.0974594238893
0.0680457197775,0.0743403423368
0.0464069089952,0.167837658831
0.0713808637398,0.168709916846
0.0637154343161,0.0562958637779
0.0671155361255,0.116143743091
0.0394800592855,0.206076064429

5-Fold RMSE:,0.0579752204006,0.14323478008,0.0527651390107,0.0541716135311,0.0541716135311
Average 5-Fold RMSE:,0.0794426989285

5-Fold rsquared:,-0.0876700704196,-0.0862071433219,0.0300415677146,0.360601128569,0.360601128569
Average 5-Fold rsquared:,0.0672146464336
