voronoi_traversal_distance,rotError.numSamples.std
1349.09985599,4496.65449768
919.718726924,1068.57195671
419.663612797,257.853455343
211.703543676,141.850142792
265.490773911,182.929460449
1173.06783952,2244.05747734
1490.99507567,3935.77212331
841.175649661,2874.5710625
512.459790786,363.803157271
183.023661923,147.306005198
288.952643527,2626.374729
191.014634059,108.084781537
162.313862645,1084.0791156
384.763332574,180.818284498
546.868433022,273.731419461
384.284799509,642.991734482
1093.28515564,702.453163625
823.369821087,1510.28589149
1603.67256076,14872.7918784
726.421235223,720.79837633
1455.54715772,9225.92445392
1342.9430314,3023.39259484
608.712541442,2651.41884337
1371.34741951,24043.8800652
550.763056801,1616.41335473
1001.59400158,8919.29941979
498.802202458,1725.55951023
951.22385554,1863.36560045
633.149187702,624.17813537
808.608614515,620.469279434
897.190026783,857.003410118
1578.35836762,5103.87888822
918.534020399,1966.19530209
1008.03211816,1057.23261059
870.931728251,1483.83345876
1371.33686714,3961.17166175
274.928270325,165.786311893
658.752298095,2139.14201672
750.178214424,1428.99660238
510.678711028,968.189122803
1567.27616653,5433.37490878
1367.57529848,3842.62601996
492.886623007,1817.05743137
740.557101864,691.528513091
1069.35769226,8506.08116752
1006.22432177,3722.68290681
520.067365763,1936.04140841
717.088483789,4393.41939757
354.772213719,1687.4634671
1193.67522752,2072.14962693
439.245777626,383.599850828
431.491340742,786.667567909
425.603880936,1917.94562562
1025.57459113,2174.75877982
589.758911653,748.389444073
656.952316561,2608.69783514
754.01694709,1354.24201138
699.590611899,490.102011085
484.299613589,432.474999277
339.901939934,473.088895362
205.223499199,597.094712473
609.45010448,1136.24840985
1187.28583886,3100.93252085
639.103357547,803.781894131
874.938568522,1700.53022844
285.340344762,316.936671506
870.904226907,2065.32399555
731.103227949,1024.40711512
618.684245989,350.849437575
2080.31115619,3504.51641908
786.534337607,2631.23148885
653.648966259,257.78020405
1138.67499527,1433.91482635
2035.82864252,4268.01882728

5-Fold RMSE:,1892.69910486,6459.60607243,936.947876135,1575.14077958,1575.14077958
Average 5-Fold RMSE:,2538.74724911

5-Fold rsquared:,0.428281110158,0.109650935227,0.159929416434,-0.112610515814,-0.112610515814
Average 5-Fold rsquared:,0.135633195211
