voronoi_traversal_rotation,rotError.mean.mean
383.11155342,0.00781177272727
299.224987726,0.00518106666667
226.003670468,0.00745268421053
65.6201458925,0.00380332142857
119.373687987,0.00530514285714
298.40968252,0.0108654444444
531.828197886,0.0100377916667
350.187357947,0.00976259090909
194.123703961,0.00654347826087
136.791651053,0.00574740540541
142.527427016,0.0063216
93.9540558552,0.00609472
112.722731226,0.00695146666667
163.845822573,0.00530697297297
166.514228449,0.00419643333333
99.3153433059,0.00586774285714
294.725708146,0.0080334137931
393.873036041,0.00957582352941
463.90477356,0.0113755652174
189.655868233,0.00664728571429
493.115537244,0.00940933333333
273.909081263,0.00862580769231
291.098597003,0.0175163076923
247.053934824,0.00585915384615
212.580961906,0.0080592
255.161221325,0.00719391304348
154.379223345,0.0116620333333
321.530644611,0.00794823076923
403.087870914,0.00808536363636
425.021775933,0.00828783870968
293.121426335,0.0090522
593.843879979,0.0130484230769
538.679861002,0.0102915384615
459.10700613,0.0115043333333
473.944548731,0.0112823142857
144.966338136,0.00535094117647
350.705972495,0.0116517083333
311.405157352,0.00985292
166.199693564,0.00736969230769
453.205692733,0.0124235769231
263.788701522,0.0109033461538
198.358452797,0.00870517391304
282.992600807,0.00633515384615
384.492596967,0.0100060769231
404.099217031,0.00994803703704
235.588634426,0.0114515483871
229.212945534,0.00746737837838
184.662743682,0.0102650357143
355.377918967,0.0086655
171.74666032,0.0111931666667
224.47594753,0.00878128
167.825668593,0.00787177777778
307.207591809,0.0083908
239.186424328,0.013150075
276.832203798,0.0103568888889
226.516662992,0.00629451282051
261.569459102,0.0100887741935
231.322208878,0.0114415
190.252000937,0.0108286829268
19.7037549351,0.00529
181.358181073,0.0074369
329.711625302,0.0108653666667
186.04419983,0.00650085185185
342.429442135,0.0107349090909
154.630366434,0.00662575862069
356.5562977,0.0108217916667
344.249370086,0.00683478125
271.307075133,0.00717885185185
273.749097052,0.00648584615385
327.830406313,0.00584372
288.227981357,0.0060295

5-Fold RMSE:,0.00189461778236,0.00170789499005,0.00236890910555,0.00281134591479,0.00281134591479
Average 5-Fold RMSE:,0.00215229313824

5-Fold rsquared:,0.324465988732,0.124453931199,0.240678531504,0.366863242477,0.366863242477
Average 5-Fold rsquared:,0.286227244251
