topology_avg_eigenvector_centrality,rotError.numSamples.mean
0.137505066747,8502.88888889
0.112870781893,4291.20833333
0.113226954911,5073.26086957
0.15823892784,2208.2
0.220862517752,533.736842105
0.289813254238,281.035714286
0.255343126462,375.75
0.110396908215,3820.06451613
0.123966518411,4729.04166667
0.145353392472,3357.30434783
0.168397280035,1109.95652174
0.219330026797,244.540540541
0.21036718925,830.8
0.207059648579,180.0
0.204125528772,450.733333333
0.218161382726,457.388888889
0.230939345144,628.1
0.215357473045,954.971428571
0.133192244046,914.034482759
0.569035593729,2059.76470588
0.112421327167,8900.875
0.189310947774,2142.7826087
0.117099210659,9951.88235294
0.160895527543,5881.21428571
0.150746564917,3028.03571429
0.125390723695,12817.0714286
0.187043352329,2496.67647059
0.184013731576,8121.34782609
0.19511088322,2459.1
0.13865641287,3998.88235294
0.110011276684,716.857142857
0.118473793797,843.47826087
0.126010953526,3702.36363636
0.148732170502,6648.12
0.0976862702812,4365.44444444
0.101913121764,4280.06666667
0.0917543071379,1701.35294118
0.102965149381,3879.09375
0.243823786365,189.695652174
0.0996411169057,1054.375
0.141536517399,2765.85185185
0.202768108095,1206.76923077
0.103876954315,6532.5
0.177507132432,3173.27272727
0.177732551984,2456.83333333
0.0849988140114,2281.8
0.145123925159,6061.31034483
0.115000447066,8307.2
0.137963629888,2598.6
0.19029821377,3927.24390244
0.212455101814,1492.89285714
0.14158313783,3379.41666667
0.175986025184,655.766666667
0.179686344074,964.583333333
0.150600129793,1611.27777778
0.124066045206,3842.36
0.162656297032,1384.0
0.152601241746,3280.36666667
0.176734832805,2484.47619048
0.138402754199,1119.77419355
0.174127568122,581.0
0.211605641264,510.341463415
0.194446635085,1274.18518519
0.207590251003,1420.46666667
0.124928999144,4234.0625
0.180911427975,754.666666667
0.144827625308,3208.20833333
0.216969516308,407.793103448
0.133171073548,2487.5
0.131709467573,2474.48571429
0.213365923892,609.074074074
0.162006200604,2976.25
0.192836011616,461.08
0.142728448751,1971.81578947

5-Fold RMSE:,2759.65590875,2582.02978037,2551.51585195,2069.42046876,2069.42046876
Average 5-Fold RMSE:,2770.87950935

5-Fold rsquared:,0.0713490367379,-0.0386903504436,-3.08155965891,0.148877087645,0.148877087645
Average 5-Fold rsquared:,-0.539710177281
