totalTime,transError.std.mean
7739.04545455,0.597974409091
5871.41333333,0.3833542
2281.97894737,0.198447578947
1354.59642857,0.12269
1659.58214286,0.153758035714
5185.57037037,0.443964518519
5477.86666667,0.531760416667
3478.16818182,0.402073772727
2830.96086957,0.30601326087
1745.23513514,0.133319189189
2208.06285714,0.194677542857
1662.192,0.11035772
1609.00666667,0.139761666667
2120.34594595,0.178360027027
2048.65333333,0.2198439
3052.23428571,0.243437428571
3764.16896552,0.256086724138
3581.27058824,0.338521882353
7070.53478261,0.583932391304
4370.66666667,0.325802619048
9172.43333333,0.59423269697
9147.29230769,0.577431384615
2876.39487179,0.38375874359
10577.6692308,0.698436384615
5200.37,0.3659623
6047.27826087,0.690604043478
3020.41666667,0.404276533333
3045.04117647,0.378580588235
2454.26153846,0.237735884615
2699.92727273,0.225124575758
3264.42903226,0.256219483871
5479.196,0.65674012
4427.51923077,0.358577384615
3802.08461538,0.362996384615
3494.89333333,0.261643066667
6018.93823529,0.498679852941
1558.62647059,0.0964399411765
3136.37916667,0.236416833333
3815.912,0.35981112
2507.84230769,0.273577115385
8208.764,0.69478984
5026.896,0.55879144
2862.13043478,0.282527217391
3938.79487179,0.292004974359
5791.23846154,0.441571769231
5879.612,0.48985272
2866.03870968,0.346335935484
5106.66388889,0.463007194444
2649.53928571,0.309707785714
7307.11666667,0.503770083333
2228.52666667,0.218116833333
2098.088,0.1932868
3423.01111111,0.310407555556
6119.592,0.50208644
2410.93333333,0.293731102564
4412.42962963,0.442420407407
3693.98717949,0.337067487179
3426.39032258,0.286365322581
2034.859375,0.19540578125
1896.65609756,0.171382926829
4133.45185185,0.326238777778
2596.04,0.287927933333
5131.46666667,0.466749133333
2637.14444444,0.224714148148
5495.39090909,0.483949818182
1954.06206897,0.153626448276
4150.80833333,0.380862583333
3693.959375,0.2900733125
2386.22592593,0.203370592593
7180.75,0.522405666667
2941.61538462,0.237020576923
2600.284,0.17280424
5058.65263158,0.366907921053
7318.78076923,0.789124346154

5-Fold RMSE:,0.0825641669486,0.0776833399743,0.0702709854885,0.082702417835,0.082702417835
Average 5-Fold RMSE:,0.0730993317361

5-Fold rsquared:,0.70837043151,0.867139156072,0.650646776927,0.869586227033,0.869586227033
Average 5-Fold rsquared:,0.802380048781
