avg_betweenness_centrality,transError.std.mean
0.0453083989501,0.610577304348
0.0506431441029,0.3833542
0.0688565543818,0.198447578947
0.0824956165985,0.12269
0.0912411571598,0.153758035714
0.0512248343955,0.492268548387
0.0385499044432,0.531760416667
0.0533682183273,0.440496478261
0.0847704008547,0.30601326087
0.101026753682,0.133319189189
0.100138696255,0.194677542857
0.0960540709486,0.11035772
0.0959134239725,0.139761666667
0.0856861275929,0.178345722222
0.0833181465357,0.2198439
0.112872975277,0.243437428571
0.0679895520642,0.273808166667
0.0467709082677,0.338521882353
0.055920167335,0.61062825
0.0682366021076,0.359939652174
0.0536409255235,0.588087103448
0.0538211780553,0.628137071429
0.0425393134828,0.443055071429
0.0415603204832,0.999427916667
0.0510232807543,0.398797941176
0.072659366777,0.690604043478
0.0848503256724,0.404276533333
0.0649559528436,0.493052294118
0.0723839147691,0.232889238095
0.0474747686416,0.221677130435
0.0472698785658,0.341540409091
0.076188994946,0.65674012
0.0313445517341,0.423536259259
0.0454936627156,0.4465398
0.0511352348359,0.306929823529
0.0479590290814,0.480697125
0.089848269322,0.108247869565
0.0560749704341,0.1948145
0.0530579343746,0.405104185185
0.086418435933,0.273577115385
0.049189456212,0.694026083333
0.0737227337282,0.480950272727
0.0905225691265,0.326498583333
0.0702205751345,0.4142652
0.0510723425654,0.500458896552
0.0494197342933,0.625794366667
0.0589674081539,0.379335257143
0.0637462112276,0.487031439024
0.0632373186978,0.309707785714
0.0478339121627,0.515047357143
0.0796291911066,0.218116833333
0.0541567842537,0.219631666667
0.0824194352595,0.310407555556
0.0622521680655,0.50208644
0.0650717683523,0.3024675
0.0503509521959,0.464581966667
0.0720605736997,0.379500214286
0.0833692725123,0.286365322581
0.0656786745706,0.206892133333
0.0642846329887,0.171382926829
0.137012987013,0.324577269231
0.0982316750719,0.287927933333
0.0588473635416,0.50571615625
0.0797518763449,0.224714148148
0.0519919002253,0.500257916667
0.0719211469534,0.153626448276
0.0543909260484,0.398803653846
0.0407834101382,0.389266045455
0.0591222769494,0.203370592593
0.0419426953002,0.525956928571
0.058391423179,0.304974964286
0.0566914730706,0.17280424
0.0557387498564,0.366907921053
0.0321313931569,0.741109166667
