voronoi_traversal_distance,rotError.mean.std
1349.09985599,0.00314194787486
919.718726924,0.000529720236435
419.663612797,0.00274200687267
211.703543676,0.000868010041646
265.490773911,0.000988470995105
1173.06783952,0.00396421114784
1490.99507567,0.00305267434636
841.175649661,0.00323725683059
512.459790786,0.00162224709611
183.023661923,0.00122251686463
288.952643527,0.00481593435646
191.014634059,0.00139556645188
162.313862645,0.00295561424787
384.763332574,0.000970277349218
546.868433022,0.00087903722649
384.284799509,0.00234359606884
1093.28515564,0.00196300121238
823.369821087,0.00475371639426
1603.67256076,0.00347532974758
726.421235223,0.00196074084985
1455.54715772,0.00290945535533
1342.9430314,0.0031687609811
608.712541442,0.00691864528074
1371.34741951,0.00176297243951
550.763056801,0.00288446249643
1001.59400158,0.00193137045088
498.802202458,0.00350567334933
951.22385554,0.0101955133655
633.149187702,0.00189316660463
808.608614515,0.00409306542765
897.190026783,0.0021898122043
1578.35836762,0.00268365863701
918.534020399,0.00416085194839
1008.03211816,0.00454871802084
870.931728251,0.00641385431356
1371.33686714,0.00357712486121
274.928270325,0.00149199568169
658.752298095,0.00373159733983
750.178214424,0.00227211409784
510.678711028,0.00284573492967
1567.27616653,0.00416717640221
1367.57529848,0.00429998156474
492.886623007,0.00262143524665
740.557101864,0.0015716058183
1069.35769226,0.00295077555546
1006.22432177,0.00347412036809
520.067365763,0.00393376291854
717.088483789,0.00199420279203
354.772213719,0.00317220657184
1193.67522752,0.00212895982035
439.245777626,0.00283126115696
431.491340742,0.00452986510634
425.603880936,0.00169591170353
1025.57459113,0.00167382816322
589.758911653,0.00380101619562
656.952316561,0.00567736820441
754.01694709,0.00200585427637
699.590611899,0.00290650421563
484.299613589,0.00604227499064
339.901939934,0.00633767378436
205.223499199,0.00090005519672
609.45010448,0.00296056940863
1187.28583886,0.00379557550738
639.103357547,0.0018376947053
874.938568522,0.00342684333818
285.340344762,0.0018378217927
870.904226907,0.0038392713065
731.103227949,0.00265952798602
618.684245989,0.00290145318257
2080.31115619,0.127889138475
786.534337607,0.00273066403156
653.648966259,0.00140772643706
1138.67499527,0.00163527502515
2035.82864252,0.00529794026363

5-Fold RMSE:,0.00582595018079,0.00556295784981,0.0100616269175,0.0320107666295,0.0320107666295
Average 5-Fold RMSE:,0.0114350576733

5-Fold rsquared:,-12.0201298179,-20.7152131205,-3.32381178706,-0.0434272325454,-0.0434272325454
Average 5-Fold rsquared:,-15.0061067608
