topology_density,rotError.std.std
0.0585365853659,0.00570813314798
0.106666666667,0.00238204213415
0.166666666667,0.00443794731193
0.222222222222,0.00221181244909
0.181818181818,0.00124875791759
0.0582793709528,0.00692890029398
0.0611664295875,0.00526352379524
0.0942028985507,0.00916339305052
0.134502923977,0.00109827381314
0.133333333333,0.001820392131
0.117647058824,0.0115835540733
0.142857142857,0.00242628577179
0.183333333333,0.00881799279479
0.158333333333,0.00156947572306
0.171428571429,0.00133593491358
0.125,0.0033034977955
0.1,0.00427790386373
0.666666666667,0.010818340273
0.0619796484736,0.0073614093577
0.122807017544,0.0020421627691
0.0542635658915,0.00882900353326
0.0984615384615,0.0056069691509
0.100985221675,0.00964521917124
0.0659536541889,0.0102373131119
0.105263157895,0.00694223066048
0.1,0.00719629727175
0.105263157895,0.00729724936466
0.0827586206897,0.00941862106525
0.0630630630631,0.00165015637774
0.0690690690691,0.00327309840264
0.0655462184874,0.00344135860057
0.08,0.00431503222254
0.0460829493088,0.00820748297377
0.0550724637681,0.038374045582
0.0505319148936,0.00800000789555
0.0475113122172,0.00653686665775
0.166666666667,0.0030003076901
0.0602564102564,0.00533292057631
0.070564516129,0.00671912860422
0.117647058824,0.00480609803905
0.0592334494774,0.00899802736477
0.0909090909091,0.00879950207474
0.109523809524,0.0034406223505
0.0570048309179,0.00161564506
0.0689655172414,0.00646094092521
0.0641025641026,0.00512121237682
0.0826210826211,0.00772600753931
0.111111111111,0.00810460207062
0.15,0.00596216482169
0.0911680911681,0.00468461053166
0.0952380952381,0.00290363576381
0.110526315789,0.00727200671353
0.102766798419,0.00593740494427
0.0611664295875,0.0031691424541
0.0905797101449,0.00360718859354
0.0866666666667,0.00760278416857
0.105263157895,0.00281495176744
0.0712643678161,0.00295568783369
0.0952380952381,0.00587875703598
0.125,0.00492444947089
0.105263157895,0.00274550707465
0.117647058824,0.00668196581096
0.0621848739496,0.00693703706243
0.0952380952381,0.00651974844058
0.0804597701149,0.0105001485137
0.141666666667,0.00348419817228
0.0585585585586,0.00672065780498
0.0773109243697,0.00427584456832
0.141666666667,0.0034764729288
0.0557491289199,0.218382402573
0.0978260869565,0.0062202472559
0.122807017544,0.00201918335413
0.0804597701149,0.00303309851547
0.090756302521,0.00630615992045

5-Fold RMSE:,0.00454325947627,0.0060483693872,0.00465137684978,0.0550853030505,0.0550853030505
Average 5-Fold RMSE:,0.0158298206722

5-Fold rsquared:,-3.48297553018,-3.46323649186,-43.7466440695,-0.12646321343,-0.12646321343
Average 5-Fold rsquared:,-10.1780217651
