voronoi_traversal_rotation,transError.std.mean
383.11155342,0.597974409091
299.224987726,0.3833542
226.003670468,0.198447578947
65.6201458925,0.12269
119.373687987,0.153758035714
298.40968252,0.443964518519
531.828197886,0.531760416667
350.187357947,0.402073772727
194.123703961,0.30601326087
136.791651053,0.133319189189
142.527427016,0.194677542857
93.9540558552,0.11035772
112.722731226,0.139761666667
163.845822573,0.178360027027
166.514228449,0.2198439
99.3153433059,0.243437428571
294.725708146,0.256086724138
393.873036041,0.338521882353
463.90477356,0.583932391304
189.655868233,0.325802619048
493.115537244,0.59423269697
273.909081263,0.577431384615
291.098597003,0.38375874359
247.053934824,0.698436384615
212.580961906,0.3659623
255.161221325,0.690604043478
154.379223345,0.404276533333
321.530644611,0.237735884615
403.087870914,0.225124575758
425.021775933,0.256219483871
293.121426335,0.65674012
593.843879979,0.358577384615
538.679861002,0.362996384615
459.10700613,0.287370933333
473.944548731,0.50726
144.966338136,0.0964399411765
350.705972495,0.236416833333
311.405157352,0.35981112
166.199693564,0.273577115385
453.205692733,0.702296269231
263.788701522,0.558222807692
198.358452797,0.282527217391
282.992600807,0.292004974359
384.492596967,0.441571769231
404.099217031,0.501131740741
235.588634426,0.346335935484
229.212945534,0.466183297297
184.662743682,0.309707785714
355.377918967,0.503770083333
171.74666032,0.218116833333
224.47594753,0.1932868
167.825668593,0.310407555556
307.207591809,0.50208644
239.186424328,0.29558275
276.832203798,0.442420407407
226.516662992,0.337067487179
261.569459102,0.286365322581
231.322208878,0.19540578125
190.252000937,0.171382926829
19.7037549351,0.327402357143
181.358181073,0.287927933333
329.711625302,0.466749133333
186.04419983,0.224714148148
342.429442135,0.483949818182
154.630366434,0.153626448276
356.5562977,0.380862583333
344.249370086,0.2900733125
271.307075133,0.203370592593
273.749097052,0.237020576923
327.830406313,0.17280424
288.227981357,0.366907921053

5-Fold RMSE:,0.164531849184,0.134835149052,0.134827240467,0.135007022898,0.135007022898
Average 5-Fold RMSE:,0.133835809714

5-Fold rsquared:,0.3057008403,0.00491172212318,0.115779617376,0.326023151081,0.326023151081
Average 5-Fold rsquared:,0.0711247461019
