traversalTime,rotError.mean.std
2035.82864252,0.0051668558009
2080.31115619,0.127889138475
1349.09985599,0.00340156190411
919.718726924,0.000529720236435
419.663612797,0.00274200687267
211.703543676,0.000868010041646
265.490773911,0.000988470995105
1173.06783952,0.00429956664055
1490.99507567,0.00305267434636
841.175649661,0.00325076749757
512.459790786,0.00162224709611
183.023661923,0.00122251686463
288.952643527,0.00481593435646
191.014634059,0.00139556645188
162.313862645,0.00295561424787
384.763332574,0.00086073843683
546.868433022,0.00087903722649
384.284799509,0.00234359606884
1093.28515564,0.00196300121238
823.369821087,0.00475371639426
1603.67256076,0.00397965134483
726.421235223,0.00194485015484
1455.54715772,0.011229552043
1342.9430314,0.00728678377751
608.712541442,0.0240067761271
1371.34741951,0.00587163384417
550.763056801,0.00364257671701
1001.59400158,0.00193137045088
498.802202458,0.00350567334933
951.22385554,0.011540864302
633.149187702,0.00169851493892
808.608614515,0.00387832424544
897.190026783,0.018982936371
1578.35836762,0.00268365863701
918.534020399,0.00951347370549
1008.03211816,0.0113683540574
870.931728251,0.0102189055546
1371.33686714,0.00279617073466
274.928270325,0.00119649202124
658.752298095,0.00373159733983
750.178214424,0.00435481252733
510.678711028,0.00284573492967
1567.27616653,0.00405173873492
1367.57529848,0.00258198449888
492.886623007,0.00935193660277
740.557101864,0.00120964368307
1069.35769226,0.00544625576124
1006.22432177,0.0122018643728
520.067365763,0.00687929093309
717.088483789,0.00319700990545
354.772213719,0.00317220657184
1193.67522752,0.00212895982035
439.245777626,0.00283126115696
431.491340742,0.00479663990611
425.603880936,0.00169591170353
1025.57459113,0.00167382816322
589.758911653,0.00464877681209
656.952316561,0.00631663664558
754.01694709,0.00267358431567
699.590611899,0.00290650421563
484.299613589,0.00604227499064
339.901939934,0.00633767378436
205.223499199,0.000897543822652
609.45010448,0.00296056940863
1187.28583886,0.00514108200771
639.103357547,0.0018376947053
874.938568522,0.00559589829449
285.340344762,0.0018378217927
870.904226907,0.00470429841354
731.103227949,0.00584007398849
618.684245989,0.00290145318257
786.534337607,0.0102512932546
653.648966259,0.00140772643706
1138.67499527,0.00163527502515

5-Fold RMSE:,0.0069698471244,0.00701064067291,0.0313316494607,0.00918219206975,0.00918219206975
Average 5-Fold RMSE:,0.0121044556249

5-Fold rsquared:,-0.031901625442,-2.89885835338,-0.992596158861,-15.9827294692,-15.9827294692
Average 5-Fold rsquared:,-4.05957150922
