voronoi_traversal_distance,rotError.std.std
1349.09985599,0.00570813314798
919.718726924,0.00238204213415
419.663612797,0.00443794731193
211.703543676,0.00221181244909
265.490773911,0.00124875791759
1173.06783952,0.00692890029398
1490.99507567,0.00526352379524
841.175649661,0.00916339305052
512.459790786,0.00109827381314
183.023661923,0.001820392131
288.952643527,0.0115835540733
191.014634059,0.00242628577179
162.313862645,0.00881799279479
384.763332574,0.00156947572306
546.868433022,0.00133593491358
384.284799509,0.0033034977955
1093.28515564,0.00427790386373
823.369821087,0.010818340273
1603.67256076,0.0073614093577
726.421235223,0.0020421627691
1455.54715772,0.00882900353326
1342.9430314,0.0056069691509
608.712541442,0.00964521917124
1371.34741951,0.0102373131119
550.763056801,0.00694223066048
1001.59400158,0.00719629727175
498.802202458,0.00729724936466
633.149187702,0.00165015637774
808.608614515,0.00327309840264
897.190026783,0.00344135860057
1578.35836762,0.00431503222254
918.534020399,0.00820748297377
1008.03211816,0.038374045582
870.931728251,0.00800000789555
1371.33686714,0.00653686665775
274.928270325,0.0030003076901
658.752298095,0.00533292057631
750.178214424,0.00671912860422
510.678711028,0.00480609803905
1567.27616653,0.00899802736477
1367.57529848,0.00879950207474
492.886623007,0.0034406223505
740.557101864,0.00161564506
1069.35769226,0.00646094092521
1006.22432177,0.00512121237682
520.067365763,0.00772600753931
717.088483789,0.00810460207062
354.772213719,0.00596216482169
1193.67522752,0.00468461053166
439.245777626,0.00290363576381
431.491340742,0.00727200671353
425.603880936,0.00593740494427
1025.57459113,0.0031691424541
589.758911653,0.00360718859354
656.952316561,0.00760278416857
754.01694709,0.00281495176744
699.590611899,0.00295568783369
484.299613589,0.00587875703598
339.901939934,0.00492444947089
205.223499199,0.00274550707465
609.45010448,0.00668196581096
1187.28583886,0.00693703706243
639.103357547,0.00651974844058
874.938568522,0.0105001485137
285.340344762,0.00348419817228
870.904226907,0.00672065780498
731.103227949,0.00427584456832
645.715980112,0.0034764729288
786.534337607,0.0062202472559
653.648966259,0.00201918335413
1138.67499527,0.00303309851547

5-Fold RMSE:,0.00230504624898,0.00271681787267,0.00903687998111,0.00333256181358,0.00333256181358
Average 5-Fold RMSE:,0.00386292515956

5-Fold rsquared:,-1.10485959941,0.288072467273,-0.0366654204629,0.0575069454021,0.0575069454021
Average 5-Fold rsquared:,-0.215968858755
