topology_edges,transError.numSamples.std
54,4574.73377354
48,3504.51641908
48,4516.12281977
32,1068.57195671
13,257.853455343
10,141.850142792
12,182.929460449
63,3510.04999446
43,3935.77212331
26,4927.43898941
23,363.803157271
14,147.306005198
16,2626.374729
15,108.084781537
22,1084.0791156
19,183.153742003
18,273.731419461
15,642.991734482
30,702.453163625
2,1510.28589149
67,14727.7449601
21,2308.33572565
49,15286.2712796
32,8108.00744572
41,2866.01159506
37,24073.9681947
18,2219.38941949
19,8919.29941979
18,1725.55951023
36,3228.66340734
42,308.046732032
46,701.623265043
39,12253.024445
24,5103.87888822
90,12190.977691
57,10206.0904135
57,1947.88730019
63,4006.02426321
13,189.939449112
47,2139.14201672
35,4015.83521781
16,968.189122803
51,5532.41528027
23,1328.17120275
23,4913.35122961
59,897.213776087
30,12782.2996962
50,15884.6134701
29,3217.32940007
19,4350.15152402
18,1687.4634671
32,2072.14962693
20,383.599850828
21,2014.30380687
26,1917.94562562
43,2174.75877982
25,1102.42140417
26,2925.49410622
20,3355.85891523
31,490.102011085
22,432.474999277
15,473.088895362
18,606.727838005
16,1136.24840985
37,4289.42952164
20,803.781894131
35,1881.63948857
17,316.936671506
39,2151.72678867
46,5518.65907301
17,350.849437575
27,9293.22106863
21,257.78020405
35,1433.91482635

5-Fold RMSE:,3579.99510826,5689.87168288,4636.40051274,2722.5469019,2722.5469019
Average 5-Fold RMSE:,3847.32017973

5-Fold rsquared:,0.346982678788,-1.50482620936,-0.0749097340147,0.192504635959,0.192504635959
Average 5-Fold rsquared:,-0.137507991049
