voronoi_edges,transError.mean.mean
264,0.494097045455
288,0.347489733333
178,0.178033842105
61,0.111519571429
92,0.135674892857
229,0.500454518519
404,0.483538
305,0.314663090909
171,0.266804521739
112,0.136014027027
104,0.1602634
82,0.11330008
80,0.120517266667
114,0.168670918919
85,0.1753349
69,0.250973828571
234,0.255138206897
297,0.275744352941
285,0.550894956522
159,0.348672047619
449,0.556707151515
257,0.560622653846
210,0.375646230769
337,0.493396230769
147,0.349249866667
155,0.511895521739
85,0.3828526
253,0.376691423077
220,0.2061935
292,0.234490727273
287,0.250467741935
189,0.63580396
562,0.298866
437,0.263492076923
303,0.279235933333
356,0.469986628571
75,0.0827919117647
216,0.224303125
235,0.36068872
104,0.297397730769
320,0.687380423077
321,0.594765692308
128,0.276685391304
211,0.26799774359
279,0.394348115385
315,0.407328592593
193,0.301939870968
255,0.337777675676
175,0.301987178571
282,0.381142583333
142,0.2053401
190,0.16422708
146,0.273704222222
265,0.42013416
170,0.315128875
263,0.391206259259
166,0.319272923077
192,0.283932129032
172,0.19405875
166,0.191225219512
24,0.287816464286
123,0.3031
253,0.4451378
145,0.236201074074
246,0.513622636364
125,0.154262137931
232,0.395215916667
295,0.2822633125
214,0.189719777778
469,0.513207166667
195,0.240103076923
248,0.17891308
226,0.367190842105
651,0.626637846154

5-Fold RMSE:,0.0562469985801,0.148094950436,0.0915874070242,0.119324370909,0.119324370909
Average 5-Fold RMSE:,0.111730551856

5-Fold rsquared:,0.37367213569,0.139392169224,0.339360198227,0.482086046436,0.482086046436
Average 5-Fold rsquared:,0.271563055065
