voronoi_density,rotError.numSamples.std
0.00318368544601,4574.73377354
0.00440412804838,3504.51641908
0.00808823529412,4516.12281977
0.00955699352912,1068.57195671
0.0116912972085,257.853455343
0.0344632768362,141.850142792
0.0215053763441,182.929460449
0.00925140387024,3510.04999446
0.00519180106663,3935.77212331
0.00722834459059,4927.43898941
0.0129516019087,363.803157271
0.0176991150442,147.306005198
0.0190476190476,2626.374729
0.0253086419753,108.084781537
0.0246913580247,1084.0791156
0.0173913043478,183.153742003
0.0238095238095,273.731419461
0.0285714285714,642.991734482
0.0090424298632,702.453163625
0.00713667820069,1510.28589149
0.00740202062177,14727.7449601
0.0131513647643,2308.33572565
0.00484541088869,15286.2712796
0.00866896039938,8108.00744572
0.010447761194,2866.01159506
0.00595238095238,24073.9681947
0.0151079136691,2219.38941949
0.0131567778627,8919.29941979
0.0238095238095,1725.55951023
0.00812851405622,3228.66340734
0.00904977375566,308.046732032
0.00721522115147,701.623265043
0.00719244167105,12253.024445
0.0105263157895,5103.87888822
0.00400898812284,12190.977691
0.00480478499412,10206.0904135
0.00671096345515,1947.88730019
0.0058288988948,4006.02426321
0.0263157894737,189.939449112
0.00938926320365,2139.14201672
0.00892348585533,4015.83521781
0.0190476190476,968.189122803
0.00642957604983,5532.41528027
0.00740228294708,1328.17120275
0.015503875969,4913.35122961
0.00952380952381,897.213776087
0.00724618860868,12782.2996962
0.00697674418605,15884.6134701
0.0108634470337,3217.32940007
0.0097678694553,4350.15152402
0.0116271344097,1687.4634671
0.00765140004341,2072.14962693
0.013986013986,383.599850828
0.0114093556717,2014.30380687
0.0137931034483,1917.94562562
0.00769163788349,2174.75877982
0.0118343195266,1102.42140417
0.00844979919679,2925.49410622
0.0132155083194,3355.85891523
0.0105814273905,490.102011085
0.0116959064327,432.474999277
0.0121212121212,473.088895362
0.103896103896,606.727838005
0.0161290322581,1136.24840985
0.00793650793651,4289.42952164
0.013698630137,803.781894131
0.00836649321498,1881.63948857
0.015873015873,316.936671506
0.0088868459358,2151.72678867
0.00749872902898,5518.65907301
0.0093023255814,350.849437575
0.0104161102505,9293.22106863
0.00822963331674,257.78020405
0.00921283274224,1433.91482635

5-Fold RMSE:,5686.0622077,4491.02008268,4077.84074798,4186.76089461,4186.76089461
Average 5-Fold RMSE:,5327.44197924

5-Fold rsquared:,0.0525687406472,0.0379710001577,0.136904442618,-4.07765973832,-4.07765973832
Average 5-Fold rsquared:,-0.771393709654
